t_Jacobi: 2.356440e+00 (21137 iterations) t_armadillo: 2.211900e-02
Jacobi eigenvalues:    Armadillo eigenvalues:                v0:                v1:                v2:
     9.86880868e+00            9.86880868e+00     4.37635735e-03    -8.74848085e-03    -1.31121408e-02
     3.94656873e+01            3.94656873e+01     8.74848085e-03    -1.74631155e-02    -2.61101888e-02
     8.87620027e+01            8.87620027e+01     1.31121408e-02    -2.61101888e-02    -3.88810442e-02
     1.57710064e+02            1.57710064e+02     1.74631155e-02    -3.46562468e-02    -5.13135837e-02
     2.46243168e+02            2.46243168e+02     2.17971959e-02    -4.30682266e-02    -6.32996282e-02
     3.54275666e+02            3.54275666e+02     2.61101888e-02    -5.13135837e-02    -7.47348833e-02
     4.81703042e+02            4.81703042e+02     3.03979218e-02    -5.93604186e-02    -8.55198475e-02
     6.28402018e+02            6.28402018e+02     3.46562468e-02    -6.71775995e-02    -9.55606776e-02
     7.94230674e+02            7.94230674e+02     3.88810442e-02    -7.47348833e-02    -1.04770005e-01
     9.79028580e+02            9.79028580e+02     4.30682266e-02    -8.20030324e-02    -1.13067697e-01
     1.18261696e+03            1.18261696e+03     4.72137433e-02    -8.89539277e-02    -1.20381552e-01
     1.40479885e+03            1.40479885e+03     5.13135837e-02    -9.55606776e-02    -1.26647931e-01
     1.64535930e+03            1.64535930e+03     5.53637816e-02    -1.01797722e-01    -1.31812308e-01
     1.90406559e+03            1.90406559e+03     5.93604186e-02    -1.07640930e-01    -1.35829746e-01
     2.18066744e+03            2.18066744e+03     6.32996282e-02    -1.13067697e-01    -1.38665288e-01
     2.47489725e+03            2.47489725e+03     6.71775995e-02    -1.18057027e-01    -1.40294261e-01
     2.78647038e+03            2.78647038e+03     7.09905808e-02    -1.22589617e-01    -1.40702491e-01
     3.11508539e+03            3.11508539e+03     7.47348833e-02    -1.26647931e-01    -1.39886426e-01
     3.46042438e+03            3.46042438e+03     7.84068847e-02    -1.30216270e-01    -1.37853166e-01
     3.82215324e+03            3.82215324e+03     8.20030324e-02    -1.33280827e-01    -1.34620404e-01
     4.19992204e+03            4.19992204e+03     8.55198475e-02    -1.35829746e-01    -1.30216270e-01
     4.59336530e+03            4.59336530e+03     8.89539277e-02    -1.37853166e-01    -1.24679083e-01
     5.00210240e+03            5.00210240e+03     9.23019507e-02    -1.39343259e-01    -1.18057027e-01
     5.42573790e+03            5.42573790e+03     9.55606776e-02    -1.40294261e-01    -1.10407720e-01
     5.86386196e+03            5.86386196e+03     9.87269556e-02    -1.40702491e-01    -1.01797722e-01
     6.31605074e+03            6.31605074e+03     1.01797722e-01    -1.40566370e-01    -9.23019507e-02
     6.78186676e+03            6.78186676e+03     1.04770005e-01    -1.39886426e-01    -8.20030324e-02
     7.26085939e+03            7.26085939e+03     1.07640930e-01    -1.38665288e-01    -7.09905808e-02
     7.75256521e+03            7.75256521e+03     1.10407720e-01    -1.36907681e-01    -5.93604186e-02
     8.25650855e+03            8.25650855e+03     1.13067697e-01    -1.34620404e-01    -4.72137433e-02
     8.77220187e+03            8.77220187e+03     1.15618288e-01    -1.31812308e-01    -3.46562468e-02
     9.29914626e+03            9.29914626e+03     1.18057027e-01    -1.28494255e-01    -2.17971959e-02
     9.83683195e+03            9.83683195e+03     1.20381552e-01    -1.24679083e-01    -8.74848085e-03
     1.03847388e+04            1.03847388e+04     1.22589617e-01    -1.20381552e-01     4.37635735e-03
     1.09423366e+04            1.09423366e+04     1.24679083e-01    -1.15618288e-01     1.74631155e-02
     1.15090861e+04            1.15090861e+04     1.26647931e-01    -1.10407720e-01     3.03979218e-02
     1.20844389e+04            1.20844389e+04     1.28494255e-01    -1.04770005e-01     4.30682266e-02
     1.26678384e+04            1.26678384e+04     1.30216270e-01    -9.87269556e-02     5.53637816e-02
     1.32587202e+04            1.32587202e+04     1.31812308e-01    -9.23019507e-02     6.71775995e-02
     1.38565126e+04            1.38565126e+04     1.33280827e-01    -8.55198475e-02     7.84068847e-02
     1.44606374e+04            1.44606374e+04     1.34620404e-01    -7.84068847e-02     8.89539277e-02
     1.50705101e+04            1.50705101e+04     1.35829746e-01    -7.09905808e-02     9.87269556e-02
     1.56855407e+04            1.56855407e+04     1.36907681e-01    -6.32996282e-02     1.07640930e-01
     1.63051341e+04            1.63051341e+04     1.37853166e-01    -5.53637816e-02     1.15618288e-01
     1.69286910e+04            1.69286910e+04     1.38665288e-01    -4.72137433e-02     1.22589617e-01
     1.75556081e+04            1.75556081e+04     1.39343259e-01    -3.88810442e-02     1.28494255e-01
     1.81852788e+04            1.81852788e+04     1.39886426e-01    -3.03979218e-02     1.33280827e-01
     1.88170941e+04            1.88170941e+04     1.40294261e-01    -2.17971959e-02     1.36907681e-01
     1.94504428e+04            1.94504428e+04     1.40566370e-01    -1.31121408e-02     1.39343259e-01
     2.00847119e+04            2.00847119e+04     1.40702491e-01    -4.37635735e-03     1.40566370e-01
     2.07192881e+04            2.07192881e+04     1.40702491e-01     4.37635735e-03     1.40566370e-01
     2.13535572e+04            2.13535572e+04     1.40566370e-01     1.31121408e-02     1.39343259e-01
     2.19869059e+04            2.19869059e+04     1.40294261e-01     2.17971959e-02     1.36907681e-01
     2.26187212e+04            2.26187212e+04     1.39886426e-01     3.03979218e-02     1.33280827e-01
     2.32483919e+04            2.32483919e+04     1.39343259e-01     3.88810442e-02     1.28494255e-01
     2.38753090e+04            2.38753090e+04     1.38665288e-01     4.72137433e-02     1.22589617e-01
     2.44988659e+04            2.44988659e+04     1.37853166e-01     5.53637816e-02     1.15618288e-01
     2.51184593e+04            2.51184593e+04     1.36907681e-01     6.32996282e-02     1.07640930e-01
     2.57334899e+04            2.57334899e+04     1.35829746e-01     7.09905808e-02     9.87269556e-02
     2.63433626e+04            2.63433626e+04     1.34620404e-01     7.84068847e-02     8.89539277e-02
     2.69474874e+04            2.69474874e+04     1.33280827e-01     8.55198475e-02     7.84068847e-02
     2.75452798e+04            2.75452798e+04     1.31812308e-01     9.23019507e-02     6.71775995e-02
     2.81361616e+04            2.81361616e+04     1.30216270e-01     9.87269556e-02     5.53637816e-02
     2.87195611e+04            2.87195611e+04     1.28494255e-01     1.04770005e-01     4.30682266e-02
     2.92949139e+04            2.92949139e+04     1.26647931e-01     1.10407720e-01     3.03979218e-02
     2.98616634e+04            2.98616634e+04     1.24679083e-01     1.15618288e-01     1.74631155e-02
     3.04192612e+04            3.04192612e+04     1.22589617e-01     1.20381552e-01     4.37635735e-03
     3.09671680e+04            3.09671680e+04     1.20381552e-01     1.24679083e-01    -8.74848085e-03
     3.15048537e+04            3.15048537e+04     1.18057027e-01     1.28494255e-01    -2.17971959e-02
     3.20317981e+04            3.20317981e+04     1.15618288e-01     1.31812308e-01    -3.46562468e-02
     3.25474914e+04            3.25474914e+04     1.13067697e-01     1.34620404e-01    -4.72137433e-02
