t_Jacobi: 8.182340e-04 (790 iterations) t_armadillo: 1.951225e-03
Jacobi eigenvalues:    Armadillo eigenvalues:                v0:                v1:                v2:
     9.85121127e+00            9.85121127e+00     4.59954419e-02     9.09634217e-02     1.33899429e-01
     3.91847853e+01            3.91847853e+01     9.09634217e-02     1.73844344e-01     2.41278434e-01
     8.73454585e+01            8.73454585e+01     1.33899429e-01     2.41278434e-01     3.00869286e-01
     1.53257401e+02            1.53257401e+02     1.73844344e-01     2.87273876e-01     3.00869286e-01
     2.35448249e+02            2.35448249e+02     2.09905864e-01     3.07743773e-01     2.41278434e-01
     3.32081995e+02            3.32081995e+02     2.41278434e-01     3.00869286e-01     1.33899429e-01
     4.41000000e+02            4.41000000e+02     2.67261242e-01     2.67261242e-01    -1.96690937e-17
     5.59769217e+02            5.59769217e+02     2.87273876e-01     2.09905864e-01    -1.33899429e-01
     6.85736536e+02            6.85736536e+02     3.00869286e-01     1.33899429e-01    -2.41278434e-01
     8.16088057e+02            8.16088057e+02     3.07743773e-01     4.59954419e-02    -3.00869286e-01
     9.47911943e+02            9.47911943e+02     3.07743773e-01    -4.59954419e-02    -3.00869286e-01
     1.07826346e+03            1.07826346e+03     3.00869286e-01    -1.33899429e-01    -2.41278434e-01
     1.20423078e+03            1.20423078e+03     2.87273876e-01    -2.09905864e-01    -1.33899429e-01
     1.32300000e+03            1.32300000e+03     2.67261242e-01    -2.67261242e-01    -2.81078628e-17
     1.43191801e+03            1.43191801e+03     2.41278434e-01    -3.00869286e-01     1.33899429e-01
     1.52855175e+03            1.52855175e+03     2.09905864e-01    -3.07743773e-01     2.41278434e-01
     1.61074260e+03            1.61074260e+03     1.73844344e-01    -2.87273876e-01     3.00869286e-01
     1.67665454e+03            1.67665454e+03     1.33899429e-01    -2.41278434e-01     3.00869286e-01
     1.72481521e+03            1.72481521e+03     9.09634217e-02    -1.73844344e-01     2.41278434e-01
     1.75414879e+03            1.75414879e+03     4.59954419e-02    -9.09634217e-02     1.33899429e-01
