t_Jacobi: 1.145410e-02 (965 iterations) t_armadillo: 0.000000e+00
Jacobi eigenvalues:    Armadillo eigenvalues:                v0:                v1:                v2:
     9.85426909e+00            9.85426909e+00     4.01533542e-02     7.95587274e-02     1.17482072e-01
     3.92335100e+01            3.92335100e+01     7.95587274e-02     1.53216948e-01     2.15511768e-01
     8.75904430e+01            8.75904430e+01     1.17482072e-01     2.15511768e-01     2.77857587e-01
     1.54024270e+02            1.54024270e+02     1.53216948e-01     2.61823067e-01     2.94196470e-01
     2.37297454e+02            2.37297454e+02     1.86097682e-01     2.88716146e-01     2.61823067e-01
     3.35858774e+02            3.35858774e+02     2.15511768e-01     2.94196470e-01     1.86097682e-01
     4.47872219e+02            4.47872219e+02     2.40911278e-01     2.77857587e-01     7.95587274e-02
     5.71251190e+02            5.71251190e+02     2.61823067e-01     2.40911278e-01    -4.01533542e-02
     7.03697370e+02            7.03697370e+02     2.77857587e-01     1.86097682e-01    -1.53216948e-01
     8.42743538e+02            8.42743538e+02     2.88716146e-01     1.17482072e-01    -2.40911278e-01
     9.85799527e+02            9.85799527e+02     2.94196470e-01     4.01533542e-02    -2.88716146e-01
     1.13020047e+03            1.13020047e+03     2.94196470e-01    -4.01533542e-02    -2.88716146e-01
     1.27325646e+03            1.27325646e+03     2.88716146e-01    -1.17482072e-01    -2.40911278e-01
     1.41230263e+03            1.41230263e+03     2.77857587e-01    -1.86097682e-01    -1.53216948e-01
     1.54474881e+03            1.54474881e+03     2.61823067e-01    -2.40911278e-01    -4.01533542e-02
     1.66812778e+03            1.66812778e+03     2.40911278e-01    -2.77857587e-01     7.95587274e-02
     1.78014123e+03            1.78014123e+03     2.15511768e-01    -2.94196470e-01     1.86097682e-01
     1.87870255e+03            1.87870255e+03     1.86097682e-01    -2.88716146e-01     2.61823067e-01
     1.96197573e+03            1.96197573e+03     1.53216948e-01    -2.61823067e-01     2.94196470e-01
     2.02840956e+03            2.02840956e+03     1.17482072e-01    -2.15511768e-01     2.77857587e-01
     2.07676649e+03            2.07676649e+03     7.95587274e-02    -1.53216948e-01     2.15511768e-01
     2.10614573e+03            2.10614573e+03     4.01533542e-02    -7.95587274e-02     1.17482072e-01
