t_Jacobi: 2.238513e+02 (530942 iterations) t_armadillo: 4.773625e-02
Jacobi eigenvalues:    Armadillo eigenvalues:                v0:                v1:                v2:
     9.86957206e+00            9.86957206e+00     3.96191757e-04    -7.92367935e-04    -1.18851296e-03
     3.94779002e+01            3.94779002e+01     7.92367935e-04    -1.58461125e-03    -2.37660533e-03
     8.88238201e+01            8.88238201e+01     1.18851296e-03    -2.37660533e-03    -3.56385666e-03
     1.57905391e+02            1.57905391e+02     1.58461125e-03    -3.16822561e-03    -4.74984683e-03
     2.46719898e+02            2.46719898e+02     1.98064723e-03    -3.95934759e-03    -5.93415613e-03
     3.55263848e+02            3.55263848e+02     2.37660533e-03    -4.74984683e-03    -7.11636546e-03
     4.83532972e+02            4.83532972e+02     2.77246997e-03    -5.53959901e-03    -8.29605646e-03
     6.31522227e+02            6.31522227e+02     3.16822561e-03    -6.32847991e-03    -9.47281167e-03
     7.99225795e+02            7.99225795e+02     3.56385666e-03    -7.11636546e-03    -1.06462147e-02
     9.86637080e+02            9.86637080e+02     3.95934759e-03    -7.90313173e-03    -1.18158502e-02
     1.19374871e+03            1.19374871e+03     4.35468282e-03    -8.68865499e-03    -1.29813043e-02
     1.42055255e+03            1.42055255e+03     4.74984683e-03    -9.47281167e-03    -1.41421647e-02
     1.66703968e+03            1.66703968e+03     5.14482407e-03    -1.02554785e-02    -1.52980204e-02
     1.93320040e+03            1.93320040e+03     5.53959901e-03    -1.10365322e-02    -1.64484625e-02
     2.21902425e+03            2.21902425e+03     5.93415613e-03    -1.18158502e-02    -1.75930838e-02
     2.52449999e+03            2.52449999e+03     6.32847991e-03    -1.25933097e-02    -1.87314794e-02
     2.84961561e+03            2.84961561e+03     6.72255486e-03    -1.33687885e-02    -1.98632462e-02
     3.19435832e+03            3.19435832e+03     7.11636546e-03    -1.41421647e-02    -2.09879839e-02
     3.55871457e+03            3.55871457e+03     7.50989625e-03    -1.49133165e-02    -2.21052944e-02
     3.94267004e+03            3.94267004e+03     7.90313173e-03    -1.56821228e-02    -2.32147824e-02
     4.34620962e+03            4.34620962e+03     8.29605646e-03    -1.64484625e-02    -2.43160551e-02
     4.76931745e+03            4.76931745e+03     8.68865499e-03    -1.72122152e-02    -2.54087229e-02
     5.21197689e+03            5.21197689e+03     9.08091186e-03    -1.79732607e-02    -2.64923990e-02
     5.67417053e+03            5.67417053e+03     9.47281167e-03    -1.87314794e-02    -2.75667001e-02
     6.15588020e+03            6.15588020e+03     9.86433900e-03    -1.94867519e-02    -2.86312460e-02
     6.65708696e+03            6.65708696e+03     1.02554785e-02    -2.02389595e-02    -2.96856598e-02
     7.17777111e+03            7.17777111e+03     1.06462147e-02    -2.09879839e-02    -3.07295686e-02
     7.71791216e+03            7.71791216e+03     1.10365322e-02    -2.17337073e-02    -3.17626028e-02
     8.27748889e+03            8.27748889e+03     1.14264159e-02    -2.24760124e-02    -3.27843969e-02
     8.85647927e+03            8.85647927e+03     1.18158502e-02    -2.32147824e-02    -3.37945894e-02
     9.45486056e+03            9.45486056e+03     1.22048199e-02    -2.39499011e-02    -3.47928226e-02
     1.00726092e+04            1.00726092e+04     1.25933097e-02    -2.46812529e-02    -3.57787435e-02
     1.07097010e+04            1.07097010e+04     1.29813043e-02    -2.54087229e-02    -3.67520030e-02
     1.13661107e+04            1.13661107e+04     1.33687885e-02    -2.61321964e-02    -3.77122568e-02
     1.20418127e+04            1.20418127e+04     1.37557470e-02    -2.68515599e-02    -3.86591650e-02
     1.27367804e+04            1.27367804e+04     1.41421647e-02    -2.75667001e-02    -3.95923926e-02
     1.34509863e+04            1.34509863e+04     1.45280262e-02    -2.82775046e-02    -4.05116092e-02
     1.41844025e+04            1.41844025e+04     1.49133165e-02    -2.89838615e-02    -4.14164898e-02
     1.49370001e+04            1.49370001e+04     1.52980204e-02    -2.96856598e-02    -4.23067139e-02
     1.57087495e+04            1.57087495e+04     1.56821228e-02    -3.03827891e-02    -4.31819665e-02
     1.64996204e+04            1.64996204e+04     1.60656085e-02    -3.10751397e-02    -4.40419381e-02
     1.73095817e+04            1.73095817e+04     1.64484625e-02    -3.17626028e-02    -4.48863241e-02
     1.81386014e+04            1.81386014e+04     1.68306697e-02    -3.24450702e-02    -4.57148258e-02
     1.89866471e+04            1.89866471e+04     1.72122152e-02    -3.31224346e-02    -4.65271501e-02
     1.98536853e+04            1.98536853e+04     1.75930838e-02    -3.37945894e-02    -4.73230094e-02
     2.07396821e+04            2.07396821e+04     1.79732607e-02    -3.44614289e-02    -4.81021221e-02
     2.16446024e+04            2.16446024e+04     1.83527309e-02    -3.51228483e-02    -4.88642125e-02
     2.25684109e+04            2.25684109e+04     1.87314794e-02    -3.57787435e-02    -4.96090109e-02
     2.35110710e+04            2.35110710e+04     1.91094913e-02    -3.64290113e-02    -5.03362537e-02
     2.44725459e+04            2.44725459e+04     1.94867519e-02    -3.70735495e-02    -5.10456837e-02
     2.54527976e+04            2.54527976e+04     1.98632462e-02    -3.77122568e-02    -5.17370497e-02
     2.64517876e+04            2.64517876e+04     2.02389595e-02    -3.83450325e-02    -5.24101070e-02
     2.74694766e+04            2.74694766e+04     2.06138770e-02    -3.89717773e-02    -5.30646176e-02
     2.85058247e+04            2.85058247e+04     2.09879839e-02    -3.95923926e-02    -5.37003498e-02
     2.95607911e+04            2.95607911e+04     2.13612656e-02    -4.02067806e-02    -5.43170785e-02
     3.06343342e+04            3.06343342e+04     2.17337073e-02    -4.08148449e-02    -5.49145856e-02
     3.17264119e+04            3.17264119e+04     2.21052944e-02    -4.14164898e-02    -5.54926597e-02
     3.28369812e+04            3.28369812e+04     2.24760124e-02    -4.20116205e-02    -5.60510960e-02
     3.39659986e+04            3.39659986e+04     2.28458465e-02    -4.26001437e-02    -5.65896972e-02
     3.51134194e+04            3.51134194e+04     2.32147824e-02    -4.31819665e-02    -5.71082724e-02
     3.62791988e+04            3.62791988e+04     2.35828054e-02    -4.37569977e-02    -5.76066383e-02
     3.74632907e+04            3.74632907e+04     2.39499011e-02    -4.43251467e-02    -5.80846184e-02
     3.86656487e+04            3.86656487e+04     2.43160551e-02    -4.48863241e-02    -5.85420436e-02
     3.98862255e+04            3.98862255e+04     2.46812529e-02    -4.54404417e-02    -5.89787521e-02
     4.11249731e+04            4.11249731e+04     2.50454803e-02    -4.59874124e-02    -5.93945892e-02
     4.23818427e+04            4.23818427e+04     2.54087229e-02    -4.65271501e-02    -5.97894079e-02
     4.36567850e+04            4.36567850e+04     2.57709663e-02    -4.70595699e-02    -6.01630685e-02
     4.49497499e+04            4.49497499e+04     2.61321964e-02    -4.75845881e-02    -6.05154386e-02
     4.62606864e+04            4.62606864e+04     2.64923990e-02    -4.81021221e-02    -6.08463936e-02
     4.75895430e+04            4.75895430e+04     2.68515599e-02    -4.86120905e-02    -6.11558164e-02
     4.89362675e+04            4.89362675e+04     2.72096650e-02    -4.91144131e-02    -6.14435975e-02
     5.03008070e+04            5.03008070e+04     2.75667001e-02    -4.96090109e-02    -6.17096350e-02
     5.16831077e+04            5.16831077e+04     2.79226513e-02    -5.00958061e-02    -6.19538348e-02
     5.30831154e+04            5.30831154e+04     2.82775046e-02    -5.05747221e-02    -6.21761105e-02
     5.45007749e+04            5.45007749e+04     2.86312460e-02    -5.10456837e-02    -6.23763834e-02
     5.59360305e+04            5.59360305e+04     2.89838615e-02    -5.15086167e-02    -6.25545827e-02
     5.73888259e+04            5.73888259e+04     2.93353374e-02    -5.19634483e-02    -6.27106452e-02
     5.88591038e+04            5.88591038e+04     2.96856598e-02    -5.24101070e-02    -6.28445158e-02
     6.03468064e+04            6.03468064e+04     3.00348150e-02    -5.28485226e-02    -6.29561471e-02
     6.18518753e+04            6.18518753e+04     3.03827891e-02    -5.32786261e-02    -6.30454996e-02
     6.33742513e+04            6.33742513e+04     3.07295686e-02    -5.37003498e-02    -6.31125417e-02
     6.49138745e+04            6.49138745e+04     3.10751397e-02    -5.41136274e-02    -6.31572495e-02
     6.64706844e+04            6.64706844e+04     3.14194890e-02    -5.45183939e-02    -6.31796074e-02
