  Count:       CPU time (s):
       3       6.2500000e-07
      12       1.5570000e-06
       8       1.7670000e-06
      37       1.2077000e-05
      43       2.1056000e-05
      78       4.0269000e-05
     103       6.1548000e-05
     138       9.4810000e-05
     163       0.00012050000
     224       0.00018208400
     264       0.00015538000
     301       0.00025056200
     331       0.00034796700
     412       0.00027940600
     460       0.00051765900
     526       0.00057740900
     597       0.00061420900
     675       0.00078956000
     721       0.00089864800
     814       0.00097723800
     900        0.0010150520
     988        0.0011284280
    1077        0.0028457110
    1188        0.0022622200
    1289        0.0028347500
    1376        0.0025315730
    1458        0.0038064550
    1597        0.0043309540
    1672        0.0039176800
    1819        0.0037108070
    1919        0.0043795230
    2076        0.0049140460
    2177        0.0048548580
    2318        0.0062375850
    2435        0.0076794720
    2578        0.0066711790
    2702        0.0096134570
    2910        0.0096697060
    3042         0.010417942
    3166         0.010342872
    3333         0.011016294
    3536         0.011790652
    3665         0.012302032
    3841         0.014120959
    4003         0.014209935
    4247         0.016076274
    4363         0.018294232
    4552         0.019500158
    4717         0.021577705
    4930         0.024974394
    5163         0.026427955
    5350         0.032186376
    5493         0.031900601
    5786         0.046623055
    5957         0.051410771
    6143         0.047215625
    6368         0.046074322
    6639         0.047926338
    6911         0.052129539
    7073         0.047705931
    7264         0.052481789
    7594         0.056001076
    7757         0.061277927
    7994         0.071851280
    8306         0.081778717
    8554         0.088721689
    8772         0.079488348
    9025         0.080181010
    9309         0.082484860
    9602         0.087305949
    9792         0.093779044
   10129          0.10486396
   10382          0.10618672
   10726          0.11133324
   10966          0.11532023
   11281          0.13375466
   11581          0.14739156
   11927          0.15653054
   12169          0.16121984
   12483          0.15342016
   12756          0.15301164
   13112          0.20222906
   13388          0.21675280
   13764          0.18596446
   14012          0.19498737
   14399          0.20375869
   14688          0.22098539
   15022          0.21965462
   15371          0.22845109
   15771          0.38892079
   16070          0.27149895
   16394          0.25108641
   16699          0.26063464
   17244          0.27786792
   17550          0.29333772
   17862          0.29591015
   18273          0.33511006
   18603          0.32607107
   19016          0.33351787
   19406          0.35456797
   19757          0.38713710
   20127          0.41277252
   20544          0.39490804
   20929          0.46180425
   21376          0.45302254
   21770          0.44192978
   22108          0.43459995
   22439          0.53709871
   22997          0.49919918
   23431          0.51349662
   23728          0.49663077
   24153          0.51389927
   24533          0.52524703
   25058          0.56397795
   25433          0.61335759
   25853          0.58913455
   26388          0.63986222
   26782          0.65111738
   27327          0.67578808
   27728          0.79043014
   28184          0.79592543
   28677          0.76949359
   29178          0.74133502
   29427          0.74477312
   29923          0.77797537
   30454          0.78359981
   30844          0.82284630
   31524          0.85258477
   31988          0.87147827
   32392          0.89568179
   32910          0.93541249
   33304          0.96686920
   33850          0.97840929
   34253           1.0290429
   34967           1.0878588
   35447           1.1370137
   35999           1.2078600
   36519           1.1548828
   36989           1.1524467
   37625           1.2008734
   38072           1.2468176
   38549           1.2822125
   39099           1.2981079
   39702           1.5510643
   40261           1.5710505
   40695           1.4930152
   41554           1.6574343
   41917           1.6069079
   42393           1.5727909
   43003           1.6550680
   43531           1.6211745
   44233           1.6477222
   44756           1.6909621
   45383           1.7361347
   45878           1.7834686
   46518           1.8880687
   47183           2.0103717
   47697           2.0997176
   48390           2.0980183
   49110           2.0982247
   49625           2.1901367
   50084           2.2871055
   50648           2.2231206
   51096           2.2275618
   51912           2.2947701
   52603           2.3219549
   53006           2.3848265
   53691           2.4301073
   54507           2.4911746
   55137           2.5740794
   55635           2.6224796
   56338           2.6641892
   57063           2.7336475
   57545           2.7870393
   58363           2.8810770
   58857           2.9351519
   59622           2.9902371
   60441           3.1161725
   60925           3.2082988
   61552           3.1948720
   62322           3.2673931
   63146           3.3690323
   63573           3.4198301
   64237           3.5574556
   64946           3.8663425
   65665           3.7527280
   66527           3.8939009
   67229           3.8881829
   67933           3.9261807
   68559           4.3204594
   69555           4.3315196
   69956           4.1520970
   70759           5.0646303
   71578           5.0759624
   72112           5.1261963
   72711           4.8933209
   73745           4.8953674
   74338           5.0190175
