t_Jacobi: 2.137149e+00 (20141 iterations) t_armadillo: 0.000000e+00
Jacobi eigenvalues:    Armadillo eigenvalues:                v0:                v1:                v2:
     3.11620385e-01            3.11620385e-01     1.05952824e-03     3.31691188e-03     6.45699600e-03
     6.81678892e-01            6.81678892e-01     2.22072363e-03     6.94006574e-03     1.34759252e-02
     1.22237382e+00            1.22237382e+00     3.48507205e-03     1.08604107e-02     2.10004995e-02
     1.94562882e+00            1.94562882e+00     4.85379344e-03     1.50666116e-02     2.89665148e-02
     2.85657725e+00            2.85657725e+00     6.32783160e-03     1.95450685e-02     3.73024253e-02
     3.95733292e+00            3.95733292e+00     7.90784460e-03     2.42799519e-02     4.59300160e-02
     5.24850419e+00            5.24850419e+00     9.59419592e-03     2.92532528e-02     5.47651697e-02
     6.72984915e+00            6.72984915e+00     1.13869463e-02     3.44448495e-02     6.37187180e-02
     8.40058030e+00            8.40058030e+00     1.32858464e-02     3.98325882e-02     7.26973696e-02
     1.02595172e+01            1.02595172e+01     1.52903301e-02     4.53923802e-02     8.16047049e-02
     1.23051689e+01            1.23051689e+01     1.73995089e-02     5.10983119e-02     9.03422263e-02
     1.45357807e+01            1.45357807e+01     1.96121672e-02     5.69227709e-02     9.88104539e-02
     1.69493637e+01            1.69493637e+01     2.19267579e-02     6.28365838e-02     1.06910052e-01
     1.95437136e+01            1.95437136e+01     2.43413997e-02     6.88091676e-02     1.14542976e-01
     2.23164235e+01            2.23164235e+01     2.68538748e-02     7.48086935e-02     1.21613624e-01
     2.52648938e+01            2.52648938e+01     2.94616280e-02     8.08022609e-02     1.28029983e-01
     2.83863398e+01            2.83863398e+01     3.21617663e-02     8.67560824e-02     1.33704754e-01
     3.16777977e+01            3.16777977e+01     3.49510598e-02     9.26356769e-02     1.38556439e-01
     3.51361303e+01            3.51361303e+01     3.78259437e-02     9.84060717e-02     1.42510387e-01
     3.87580320e+01            3.87580320e+01     4.07825207e-02     1.04032011e-01     1.45499773e-01
     4.25400327e+01            4.25400327e+01     4.38165656e-02     1.09478169e-01     1.47466507e-01
     4.64785033e+01            4.64785033e+01     4.69235298e-02     1.14709369e-01     1.48362061e-01
     5.05696593e+01            5.05696593e+01     5.00985471e-02     1.19690805e-01     1.48148196e-01
     5.48095650e+01            5.48095650e+01     5.33364410e-02     1.24388261e-01     1.46797586e-01
     5.91941387e+01            5.91941387e+01     5.66317327e-02     1.28768338e-01     1.44294332e-01
     6.37191559e+01            6.37191559e+01     5.99786499e-02     1.32798670e-01     1.40634346e-01
     6.83802548e+01            6.83802548e+01     6.33711369e-02     1.36448150e-01     1.35825613e-01
     7.31729398e+01            7.31729398e+01     6.68028657e-02     1.39687134e-01     1.29888327e-01
     7.80925869e+01            7.80925869e+01     7.02672476e-02     1.42487658e-01     1.22854878e-01
     8.31344479e+01            8.31344479e+01     7.37574467e-02     1.44823637e-01     1.14769708e-01
     8.82936553e+01            8.82936553e+01     7.72663932e-02     1.46671054e-01     1.05689037e-01
     9.35652269e+01            9.35652269e+01     8.07867984e-02     1.48008148e-01     9.56804402e-02
     9.89440713e+01            9.89440713e+01     8.43111700e-02     1.48815585e-01     8.48222980e-02
     1.04424992e+02            1.04424992e+02     8.78318288e-02     1.49076615e-01     7.32031202e-02
     1.10002694e+02            1.10002694e+02     9.13409256e-02     1.48777220e-01     6.09207429e-02
     1.15671786e+02            1.15671786e+02     9.48304594e-02     1.47906246e-01     4.80814125e-02
     1.21426791e+02            1.21426791e+02     9.82922957e-02     1.46455517e-01     3.47987642e-02
     1.27262145e+02            1.27262145e+02     1.01718186e-01     1.44419937e-01     2.11927037e-02
     1.33172207e+02            1.33172207e+02     1.05099789e-01     1.41797569e-01     7.38820568e-03
     1.39151265e+02            1.39151265e+02     1.08428686e-01     1.38589699e-01    -6.48595977e-03
     1.45193537e+02            1.45193537e+02     1.11696411e-01     1.34800882e-01    -2.02985588e-02
     1.51293181e+02            1.51293181e+02     1.14894462e-01     1.30438967e-01    -3.39172690e-02
     1.57444299e+02            1.57444299e+02     1.18014331e-01     1.25515102e-01    -4.72100834e-02
     1.63640943e+02            1.63640943e+02     1.21047521e-01     1.20043722e-01    -6.00467276e-02
     1.69877120e+02            1.69877120e+02     1.23985571e-01     1.14042512e-01    -7.23000747e-02
     1.76146799e+02            1.76146799e+02     1.26820078e-01     1.07532354e-01    -8.38475416e-02
