t_Jacobi: 6.400000e-05 (31 iterations) t_armadillo: 3.150500e-03
Jacobi eigenvalues:    Armadillo eigenvalues:                v0:                v1:                v2:
     3.30639562e+02            3.30639562e+02     1.00000000e+00    -3.05029292e-06     2.09338908e-12
     1.32234760e+03            1.32234760e+03     3.05029292e-06     1.00000000e+00    -1.83013515e-06
     2.97523099e+03            2.97523099e+03     3.48905920e-12     1.83013515e-06     1.00000000e+00
     5.28927600e+03            5.28927600e+03     2.12848920e-18     1.39557821e-12     1.30723473e-06
     8.26447986e+03            8.26447986e+03     8.11546436e-25     6.08116343e-19     7.47626963e-13
     1.19008417e+04            1.19008417e+04     1.60094905e-30     5.05877038e-25     2.53380037e-19
     1.61983610e+04            1.61983610e+04     1.69354705e-36     5.14342043e-31    -2.59422027e-25
     2.11570377e+04            2.11570377e+04     6.42012894e-43     3.13770139e-37    -8.47812239e-32
     2.67768717e+04            2.67768717e+04    -2.10529845e-49     0.00000000e+00     3.95506499e-38
     3.30578628e+04            3.30578628e+04    -5.35133302e-56     0.00000000e+00     1.90480632e-44
