t_Jacobi: 4.133827e+01 (81671 iterations) t_armadillo: 1.407700e-02
Jacobi eigenvalues:    Armadillo eigenvalues:                v0:                v1:                v2:
     4.05767439e+00            4.05767439e+00     4.03306831e-03    -5.47468337e-03     6.44263276e-03
     7.90875043e+00            7.90875043e+00     8.15633672e-03    -1.10587624e-02     1.29984209e-02
     1.18172591e+01            1.18172591e+01     1.23605851e-02    -1.67262846e-02     1.96208501e-02
     1.57601328e+01            1.57601328e+01     1.66363325e-02    -2.24506998e-02     2.62625635e-02
     1.97943677e+01            1.97943677e+01     2.09738699e-02    -2.82049996e-02     3.28757177e-02
     2.41553627e+01            2.41553627e+01     2.53632930e-02    -3.39618602e-02     3.94123445e-02
     2.91545631e+01            2.91545631e+01     2.97945362e-02    -3.96937865e-02     4.58247136e-02
     3.49465415e+01            3.49465415e+01     3.42574077e-02    -4.53732580e-02     5.20656958e-02
     4.15560461e+01            4.15560461e+01     3.87416245e-02    -5.09728750e-02     5.80891204e-02
     4.89743403e+01            4.89743403e+01     4.32368478e-02    -5.64655032e-02     6.38501270e-02
     5.71908599e+01            5.71908599e+01     4.77327186e-02    -6.18244180e-02     6.93055069e-02
     6.61974996e+01            6.61974996e+01     5.22188938e-02    -6.70234453e-02     7.44140317e-02
     7.59881178e+01            7.59881178e+01     5.66850814e-02    -7.20370991e-02     7.91367665e-02
     8.65577678e+01            8.65577678e+01     6.11210754e-02    -7.68407154e-02     8.34373654e-02
     9.79021774e+01            9.79021774e+01     6.55167909e-02    -8.14105800e-02     8.72823462e-02
     1.10017430e+02            1.10017430e+02     6.98622980e-02    -8.57240520e-02     9.06413433e-02
     1.22899774e+02            1.22899774e+02     7.41478545e-02    -8.97596789e-02     9.34873350e-02
     1.36545502e+02            1.36545502e+02     7.83639388e-02    -9.34973059e-02     9.57968453e-02
     1.50950878e+02            1.50950878e+02     8.25012803e-02    -9.69181766e-02     9.75501172e-02
     1.66112090e+02            1.66112090e+02     8.65508899e-02    -1.00005025e-01     9.87312571e-02
     1.82025216e+02            1.82025216e+02     9.05040878e-02    -1.02742160e-01     9.93283488e-02
     1.98686208e+02            1.98686208e+02     9.43525310e-02    -1.05115537e-01     9.93335366e-02
     2.16090871e+02            2.16090871e+02     9.80882384e-02    -1.07112824e-01     9.87430767e-02
