t_Jacobi: 6.964400e-03 (883 iterations) t_armadillo: 0.000000e+00
Jacobi eigenvalues:    Armadillo eigenvalues:                v0:                v1:                v2:
     2.21469893e+00            2.21469893e+00     1.71900006e-01    -2.32374899e-01     2.67675086e-01
     4.06353834e+00            4.06353834e+00     3.48107587e-01    -3.89358448e-01     3.55702845e-01
     5.89758700e+00            5.89758700e+00     4.66692306e-01    -3.45811178e-01     1.37210833e-01
     7.69671247e+00            7.69671247e+00     4.95052659e-01    -1.14549177e-01    -2.03333704e-01
     9.45104053e+00            9.45104053e+00     4.40727496e-01     1.75879849e-01    -3.68356155e-01
     1.11539644e+01            1.11539644e+01     3.38645096e-01     3.85781044e-01    -2.37014666e-01
     1.27998801e+01            1.27998801e+01     2.28237895e-01     4.51369371e-01     6.51624424e-02
     1.43831570e+01            1.43831570e+01     1.36364236e-01     3.95857862e-01     3.27264949e-01
     1.58974510e+01            1.58974510e+01     7.27784413e-02     2.84113310e-01     4.29415176e-01
     1.73350348e+01            1.73350348e+01     3.49035770e-02     1.73442616e-01     3.84309756e-01
     1.86857064e+01            1.86857064e+01     1.51152250e-02     9.20296118e-02     2.70792181e-01
     1.99327258e+01            1.99327258e+01     5.93532781e-03     4.30425032e-02     1.58802120e-01
     2.10343344e+01            2.10343344e+01     2.12107999e-03     1.79234092e-02     7.98144608e-02
     2.19615915e+01            2.19615915e+01     6.92141642e-04     6.69632013e-03     3.50173188e-02
     2.29765624e+01            2.29765624e+01     2.06864069e-04     2.25860004e-03     1.35835375e-02
     2.42635267e+01            2.42635267e+01     5.67885910e-05     6.91336592e-04     4.70365826e-03
     2.58042838e+01            2.58042838e+01     1.43575491e-05     1.92901774e-04     1.46502276e-03
     2.76172906e+01            2.76172906e+01     3.35146421e-06     4.92603871e-05     4.12996638e-04
     2.97591547e+01            2.97591547e+01     7.24032328e-07     1.15534973e-05     1.05933694e-04
     3.23295520e+01            3.23295520e+01     1.45084339e-07     2.49667256e-06     2.48350716e-05
     3.55198755e+01            3.55198755e+01     2.70024483e-08     4.98046556e-07     5.33589937e-06
     3.98190280e+01            3.98190280e+01     4.55738360e-09     8.93278206e-08     1.02048435e-06
