t_Jacobi: 7.510360e+01 (182795 iterations) t_armadillo: 0.000000e+00
Jacobi eigenvalues:    Armadillo eigenvalues:                v0:                v1:                v2:
     1.24997869e+00            1.24997869e+00     1.49893152e-03    -2.21863646e-03     2.74501375e-03
     2.19002151e+00            2.19002151e+00     3.04559354e-03    -4.50561901e-03     5.57167908e-03
     3.15042255e+00            3.15042255e+00     4.63864589e-03    -6.85655606e-03     8.47152481e-03
     4.12424628e+00            4.12424628e+00     6.27667097e-03    -9.26685488e-03     1.14357341e-02
     5.12799931e+00            5.12799931e+00     7.95817590e-03    -1.17317322e-02     1.44551735e-02
     6.22377540e+00            6.22377540e+00     9.68159470e-03    -1.42462255e-02     1.75204240e-02
     7.48528897e+00            7.48528897e+00     1.14452908e-02    -1.68052044e-02     2.06218118e-02
     8.94577974e+00            8.94577974e+00     1.32475593e-02    -1.94033831e-02     2.37494423e-02
     1.06100646e+01            1.06100646e+01     1.50866302e-02    -2.20353330e-02     2.68932331e-02
     1.24762743e+01            1.24762743e+01     1.69606705e-02    -2.46954959e-02     3.00429488e-02
     1.45423175e+01            1.45423175e+01     1.88677880e-02    -2.73781973e-02     3.31882370e-02
     1.68066859e+01            1.68066859e+01     2.08060334e-02    -3.00776605e-02     3.63186635e-02
     1.92683213e+01            1.92683213e+01     2.27734044e-02    -3.27880208e-02     3.94237491e-02
     2.19264425e+01            2.19264425e+01     2.47678484e-02    -3.55033399e-02     4.24930065e-02
     2.47804305e+01            2.47804305e+01     2.67872662e-02    -3.82176205e-02     4.55159770e-02
     2.78297589e+01            2.78297589e+01     2.88295152e-02    -4.09248214e-02     4.84822675e-02
     3.10739524e+01            3.10739524e+01     3.08924135e-02    -4.36188728e-02     5.13815872e-02
     3.45125609e+01            3.45125609e+01     3.29737428e-02    -4.62936907e-02     5.42037844e-02
     3.81451442e+01            3.81451442e+01     3.50712530e-02    -4.89431932e-02     5.69388826e-02
     4.19712620e+01            4.19712620e+01     3.71826650e-02    -5.15613146e-02     5.95771161e-02
     4.59904665e+01            4.59904665e+01     3.93056756e-02    -5.41420217e-02     6.21089650e-02
     5.02022991e+01            5.02022991e+01     4.14379605e-02    -5.66793279e-02     6.45251891e-02
     5.46062870e+01            5.46062870e+01     4.35771788e-02    -5.91673092e-02     6.68168615e-02
     5.92019412e+01            5.92019412e+01     4.57209763e-02    -6.16001184e-02     6.89754006e-02
     6.39887554e+01            6.39887554e+01     4.78669904e-02    -6.39719998e-02     7.09926011e-02
     6.89662048e+01            6.89662048e+01     5.00128532e-02    -6.62773041e-02     7.28606632e-02
     7.41337456e+01            7.41337456e+01     5.21561959e-02    -6.85105017e-02     7.45722217e-02
     7.94908146e+01            7.94908146e+01     5.42946526e-02    -7.06661973e-02     7.61203717e-02
     8.50368288e+01            8.50368288e+01     5.64258644e-02    -7.27391428e-02     7.74986946e-02
     9.07711853e+01            9.07711853e+01     5.85474831e-02    -7.47242503e-02     7.87012808e-02
     9.66932611e+01            9.66932611e+01     6.06571753e-02    -7.66166048e-02     7.97227515e-02
     1.02802413e+02            1.02802413e+02     6.27526262e-02    -7.84114763e-02     8.05582783e-02
     1.09097978e+02            1.09097978e+02     6.48315430e-02    -8.01043312e-02     8.12036009e-02
     1.15579272e+02            1.15579272e+02     6.68916594e-02    -8.16908433e-02     8.16550428e-02
     1.22245591e+02            1.22245591e+02     6.89307383e-02    -8.31669043e-02     8.19095249e-02
     1.29096212e+02            1.29096212e+02     7.09465764e-02    -8.45286335e-02     8.19645769e-02
     1.36130391e+02            1.36130391e+02     7.29370067e-02    -8.57723871e-02     8.18183467e-02
     1.43347363e+02            1.43347363e+02     7.48999027e-02    -8.68947666e-02     8.14696075e-02
     1.50746345e+02            1.50746345e+02     7.68331812e-02    -8.78926267e-02     8.09177626e-02
     1.58326533e+02            1.58326533e+02     7.87348059e-02    -8.87630825e-02     8.01628482e-02
     1.66087104e+02            1.66087104e+02     8.06027901e-02    -8.95035158e-02     7.92055338e-02
     1.74027213e+02            1.74027213e+02     8.24352000e-02    -9.01115808e-02     7.80471205e-02
     1.82145998e+02            1.82145998e+02     8.42301574e-02    -9.05852092e-02     7.66895369e-02
     1.90442577e+02            1.90442577e+02     8.59858424e-02    -9.09226144e-02     7.51353331e-02
     1.98916047e+02            1.98916047e+02     8.77004962e-02    -9.11222946e-02     7.33876720e-02
     2.07565487e+02            2.07565487e+02     8.93724233e-02    -9.11830358e-02     7.14503196e-02
