t_Jacobi: 2.052484e+00 (17843 iterations) t_armadillo: 0.000000e+00
Jacobi eigenvalues:    Armadillo eigenvalues:                v0:                v1:                v2:
     2.99953908e+00            2.99953908e+00     1.18345874e-02    -1.45099764e-02     1.66078883e-02
     7.00092715e+00            7.00092715e+00     2.36135257e-02    -2.88606578e-02     3.29273893e-02
     1.10725064e+01            1.10725064e+01     3.52816019e-02    -4.28947109e-02     4.86753665e-02
     1.55726565e+01            1.55726565e+01     4.67844700e-02    -5.64586969e-02     6.35790796e-02
     2.10346507e+01            2.10346507e+01     5.80690728e-02    -6.94049451e-02     7.73811214e-02
     2.77037238e+01            2.77037238e+01     6.90840495e-02    -8.15933423e-02     8.98440496e-02
     3.56095364e+01            3.56095364e+01     7.97801250e-02    -9.28930079e-02     1.00754619e-01
     4.47386502e+01            4.47386502e+01     9.01104762e-02    -1.03183835e-01     1.09927535e-01
     5.50754190e+01            5.50754190e+01     1.00031072e-01    -1.12357869e-01     1.17208654e-01
     6.66054964e+01            6.66054964e+01     1.09500986e-01    -1.20320518e-01     1.22477574e-01
     7.93150953e+01            7.93150953e+01     1.18482669e-01    -1.26991554e-01     1.25649565e-01
     9.31902920e+01            9.31902920e+01     1.26942195e-01    -1.32305928e-01     1.26676811e-01
     1.08216622e+02            1.08216622e+02     1.34849467e-01    -1.36214350e-01     1.25548945e-01
     1.24378861e+02            1.24378861e+02     1.42178378e-01    -1.38683667e-01     1.22292877e-01
     1.41660904e+02            1.41660904e+02     1.48906938e-01    -1.39697000e-01     1.16971923e-01
     1.60045704e+02            1.60045704e+02     1.55017360e-01    -1.39253679e-01     1.09684273e-01
     1.79515238e+02            1.79515238e+02     1.60496100e-01    -1.37368946e-01     1.00560820e-01
     2.00050500e+02            2.00050500e+02     1.65333862e-01    -1.34073461e-01     8.97624307e-02
     2.21631495e+02            2.21631495e+02     1.69525562e-01    -1.29412613e-01     7.74766903e-02
     2.44237246e+02            2.44237246e+02     1.73070251e-01    -1.23445646e-01     6.39142242e-02
     2.67845810e+02            2.67845810e+02     1.75971005e-01    -1.16244627e-01     4.93046584e-02
