t_Jacobi: 5.850700e-03 (742 iterations) t_armadillo: 0.000000e+00
Jacobi eigenvalues:    Armadillo eigenvalues:                v0:                v1:                v2:
     2.93958887e+00            2.93958887e+00     4.05201572e-01    -4.52532463e-01     4.53105707e-01
     6.69025833e+00            6.69025833e+00     5.99717249e-01    -3.48918576e-01     4.69176268e-02
     1.02212736e+01            1.02212736e+01     5.46699892e-01     1.46098494e-01    -4.43217794e-01
     1.35059370e+01            1.35059370e+01     3.65712841e-01     5.03331840e-01    -2.19516998e-01
     1.65030916e+01            1.65030916e+01     1.90601101e-01     5.11783465e-01     3.02822311e-01
     1.91484407e+01            1.91484407e+01     7.98508877e-02     3.30192145e-01     5.10582726e-01
     2.14739458e+01            2.14739458e+01     2.74522632e-02     1.55781079e-01     3.88637910e-01
     2.39236702e+01            2.39236702e+01     7.86750551e-03     5.71256032e-02     1.96274430e-01
     2.68482120e+01            2.68482120e+01     1.90395765e-03     1.68704239e-02     7.35540551e-02
     3.02456490e+01            3.02456490e+01     3.93410541e-04     4.11068999e-03     2.16157029e-02
     3.40772938e+01            3.40772938e+01     7.00859253e-05     8.41547181e-04     5.15455477e-03
     3.83224617e+01            3.83224617e+01     1.08588163e-05     1.46852725e-04     1.02153517e-03
     4.29695942e+01            4.29695942e+01     1.47466588e-06     2.21054563e-05     1.71312174e-04
     4.80116430e+01            4.80116430e+01     1.76780583e-07     2.89946262e-06     2.46607128e-05
     5.34440442e+01            5.34440442e+01     1.88276438e-08     3.34291358e-07     3.08319443e-06
     5.92637106e+01            5.92637106e+01     1.79193939e-09     3.41382363e-08     3.38111891e-07
     6.54684838e+01            6.54684838e+01     1.53230571e-10     3.10887646e-09     3.27988145e-08
     7.20568822e+01            7.20568822e+01     1.18303837e-11     2.54001373e-10     2.83523585e-09
     7.90297319e+01            7.90297319e+01     8.28416561e-13     1.87196879e-11     2.19818850e-10
     8.64214661e+01            8.64214661e+01     5.28332411e-14     1.25062216e-12     1.53738522e-11
     9.45656925e+01            9.45656925e+01     3.08067308e-15     7.60775088e-14     9.74931068e-13
     1.05020233e+02            1.05020233e+02     1.64391983e-16     4.21930378e-15     5.61487949e-14
