t_Jacobi: 2.151200e-02 (3978 iterations) t_armadillo: 2.080470e-02
Jacobi eigenvalues:    Armadillo eigenvalues:                v0:                v1:                v2:
     2.98793279e+00            2.98793279e+00     1.28897292e-01    -1.55336856e-01    -1.70811565e-01
     6.93938927e+00            6.93938927e+00     2.43177868e-01    -2.69459920e-01    -2.70612961e-01
     1.08513825e+01            1.08513825e+01     3.30960885e-01    -3.13285105e-01    -2.59114550e-01
     1.47232920e+01            1.47232920e+01     3.85127233e-01    -2.77694521e-01    -1.42960541e-01
     1.85544637e+01            1.85544637e+01     4.04160016e-01    -1.74583478e-01     2.94555832e-02
     2.23442070e+01            2.23442070e+01     3.91699644e-01    -3.13456171e-02     1.90671322e-01
     2.60917909e+01            2.60917909e+01     3.55085970e-01     1.18587150e-01     2.82485196e-01
     2.97964407e+01            2.97964407e+01     3.03400023e-01     2.45470429e-01     2.76906388e-01
     3.34573326e+01            3.34573326e+01     2.45562781e-01     3.30084879e-01     1.81997958e-01
     3.70735893e+01            3.70735893e+01     1.88917516e-01     3.66154866e-01     3.29505881e-02
     4.06442731e+01            4.06442731e+01     1.38494996e-01     3.58659123e-01    -1.24973180e-01
     4.41683796e+01            4.41683796e+01     9.69334100e-02     3.19622717e-01    -2.53110350e-01
     4.76448289e+01            4.76448289e+01     6.48691340e-02     2.63344907e-01    -3.29525326e-01
     5.10724563e+01            5.10724563e+01     4.15577472e-02     2.02593086e-01    -3.50780200e-01
     5.44500004e+01            5.44500004e+01     2.55123841e-02     1.46484892e-01    -3.27316745e-01
     5.77760895e+01            5.77760895e+01     1.50212722e-02     1.00013555e-01    -2.76157039e-01
     6.10492246e+01            6.10492246e+01     8.48872789e-03     6.47047414e-02    -2.14284285e-01
     6.42677592e+01            6.42677592e+01     4.60729662e-03     3.97738669e-02    -1.54551314e-01
     6.74298744e+01            6.74298744e+01     2.40312939e-03     2.32800038e-02    -1.04357415e-01
     7.05335496e+01            7.05335496e+01     1.20524089e-03     1.29976216e-02    -6.63120458e-02
     7.35765358e+01            7.35765358e+01     5.81510795e-04     6.93250098e-03    -3.98089953e-02
     7.65563521e+01            7.65563521e+01     2.70045610e-04     3.53686713e-03    -2.26477198e-02
     7.94703712e+01            7.94703712e+01     1.20756206e-04     1.72797419e-03    -1.22405717e-02
     8.23161015e+01            8.23161015e+01     5.20192162e-05     8.09239880e-04    -6.29807868e-03
     8.50917346e+01            8.50917346e+01     2.15964415e-05     3.63602557e-04    -3.09030929e-03
     8.77966898e+01            8.77966898e+01     8.64452116e-06     1.56869733e-04    -1.44822972e-03
     9.04312673e+01            9.04312673e+01     3.33742582e-06     6.50336713e-05    -6.49064461e-04
     9.29943551e+01            9.29943551e+01     1.24325901e-06     2.59253716e-05    -2.78523782e-04
     9.54792873e+01            9.54792873e+01     4.47048937e-07     9.94444071e-06    -1.14556199e-04
     9.78692362e+01            9.78692362e+01     1.55221753e-07     3.67255992e-06    -4.52035586e-05
     1.00132592e+02            1.00132592e+02     5.20609025e-08     1.30659488e-06    -1.71279597e-05
     1.02222666e+02            1.02222666e+02     1.68724995e-08     4.48058689e-07    -6.23691822e-06
     1.04145345e+02            1.04145345e+02     5.28594364e-09     1.48176270e-07    -2.18420719e-06
     1.06110407e+02            1.06110407e+02     1.60125167e-09     4.72815512e-08    -7.36180329e-07
     1.08327832e+02            1.08327832e+02     4.69286634e-10     1.45641680e-08    -2.38962931e-07
     1.10822807e+02            1.10822807e+02     1.32713091e-10     4.33267729e-09    -7.47493830e-08
     1.13578470e+02            1.13578470e+02     3.63200488e-11     1.24532641e-09    -2.25461111e-08
     1.16590067e+02            1.16590067e+02     9.93280231e-12     3.45959303e-10    -6.56084075e-09
     1.19863141e+02            1.19863141e+02     2.56499401e-12     9.29851309e-11    -1.84301517e-09
     1.23410726e+02            1.23410726e+02     5.09826859e-13     2.43087163e-11    -5.00430099e-10
     1.27252733e+02            1.27252733e+02     8.75033482e-14     6.23470675e-12    -1.31620334e-10
     1.31416625e+02            1.31416625e+02    -9.89852901e-14     1.55129436e-12    -3.33854934e-11
     1.35939250e+02            1.35939250e+02    -2.97259642e-14     3.66609315e-13    -8.17434321e-12
     1.40870154e+02            1.40870154e+02     2.46673574e-13     9.01717504e-14    -2.14815959e-12
     1.46277355e+02            1.46277355e+02     1.84769206e-13     4.67985775e-14    -6.51203601e-13
     1.52257775e+02            1.52257775e+02    -9.23070188e-14     8.64863854e-14    -2.29896554e-13
     1.58957724e+02            1.58957724e+02    -1.42195943e-13     1.38785096e-13    -1.38106609e-13
     1.66618578e+02            1.66618578e+02    -6.50515052e-14     1.39378860e-13    -7.33171925e-14
     1.75701867e+02            1.75701867e+02    -9.51611208e-14     8.92587537e-14     1.57201744e-13
     1.87392497e+02            1.87392497e+02    -1.08648985e-13     3.53741847e-14     1.70492489e-13
