40x40 spins, 10000000 Monte Carlo cycles, random initial state
Temperature     Avg. energy   Heat capacity  Avg. magnetization   Avg. magnetization (abs. value)  Susceptibility            Time    
          2      -2792.8347        1165.882          0.17809954                         1457.8965       739.06153       246.61583
       2.02      -2769.0932       1227.2782          -723.70018                         1446.8739       880.13661       255.92095
       2.04      -2743.8773       1296.8195         0.061273849                         1434.7918       920.52867       269.72905
       2.06      -2717.1753       1372.0138         0.049130239                         1421.3035       1095.7994       243.86699
       2.08      -2689.0848       1458.1666          0.27533022                         1406.3072       1424.6073       245.66748
        2.1      -2659.2969       1544.3329          -694.74459                          1389.725       1654.4703       244.68913
       2.12      -2627.5475       1645.9869           1371.0791                         1371.0846       1966.9389       245.55283
       2.14      -2593.5963        1760.095          0.56522805                         1349.3878       2596.2209        245.0582
       2.16      -2557.2449       1887.9624           662.15594                         1324.5235       3286.4822       246.86879
       2.18      -2517.0548        2068.409           38.991489                         1292.5219       712713.07       247.86249
        2.2      -2474.0329       2266.4208           116.53122                         1254.8512        589403.3       252.05866
       2.22      -2426.9307       2500.0901           159.97372                         1206.8507       647382.69       247.74555
       2.24      -2373.8507       2778.5921           2.9459738                         1143.2582       595263.37       249.65202
       2.26      -2315.5726       3044.7328          -15.854865                         1060.9412       524265.96       249.00532
       2.28      -2253.0633        3195.785           11.415713                         961.16427       441216.28       249.16723
