40x40 spins, 10000000 Monte Carlo cycles, random initial state
Temperature     Avg. energy   Heat capacity  Avg. magnetization   Avg. magnetization (abs. value)  Susceptibility            Time    
        2.3      -2189.3975       3203.3208          -14.437635                         848.74211        359150.5       251.84371
       2.32      -2126.3219       2989.4002           14.012968                         729.78091       277927.49       252.78071
       2.34      -2070.2094       2718.6036          -4.5905081                           629.067       215995.38       256.08472
       2.36      -2018.1063       2407.4607          -3.8013147                         537.22674       164016.78       254.12043
       2.38      -1972.5521       2147.4903          0.71287327                         464.19399       126331.51       255.59569
        2.4       -1931.946       1943.6462         -0.73893714                         408.50671       99774.687       256.34916
       2.42      -1895.1823       1778.6653           9.2390242                          364.9211       80492.312       255.49876
       2.44      -1861.0583       1652.5529           4.7028264                         330.26937       66317.417       258.37256
       2.46      -1828.8976       1553.1943           3.2045906                         299.67223        54866.81       257.74413
       2.48       -1798.541       1454.1728          0.15725786                         274.47997       46052.303       257.18107
        2.5      -1770.0683       1388.6756          0.65882422                         256.29812       40000.326          303.92
       2.52      -1743.0701       1326.8723          0.20483624                          239.8077       34994.423       295.93165
       2.54      -1716.8193       1266.2991           0.9463972                         224.18599       30438.043       290.70186
       2.56      -1692.4715       1218.0197          -0.3589033                          213.4976       27432.773       299.74065
       2.58      -1668.1173       1171.6734         -0.33886346                         202.06372       24446.433       266.93394
        2.6      -1645.4324       1128.7842          0.59613954                         192.97374       22178.899       262.92634
