60x60 spins, 10000000 Monte Carlo cycles, random initial state
Temperature     Avg. energy   Heat capacity  Avg. magnetization   Avg. magnetization (abs. value)  Susceptibility            Time    
        2.2      -5566.7054       5125.3691           2137.6154                         2822.5884       1216262.9       492.62822
      2.205      -5542.0048       5241.5959           1399.3173                         2799.8501       24680.176       511.03925
       2.21      -5514.8103       5411.4312          -285.19128                         2771.0588       1578326.8       478.78812
      2.215      -5486.5689       5614.0507          -317.21051                         2738.7616       1843549.3       470.63397
       2.22      -5459.3944       5737.9805          -1257.4469                         2711.1298       2143783.6       471.29311
      2.225      -5431.6255       5876.4601          -728.00084                         2679.6208       1914288.1       470.66506
       2.23      -5401.8439       6067.9086           1389.6151                         2642.1691       1567223.9       472.23063
      2.235      -5369.7347       6290.9774          -314.34836                         2596.9834       2482715.5       471.41427
       2.24      -5337.6454       6518.0226           359.58359                         2551.0445       2787228.4       474.19853
      2.245      -5304.6578       6718.1935           134.77414                         2504.0339       2497621.9       528.87822
       2.25      -5271.8146       6915.5427            15.37759                         2450.1786         2506900       508.17348
      2.255      -5234.8984       7215.7085           137.52393                         2383.1698         2568355       475.80922
       2.26      -5198.0646       7436.1887          -106.62258                         2317.5832       2391713.7       476.06954
      2.265       -5161.861       7634.5366           255.73317                         2249.0218       2290285.6       475.88498
       2.27      -5122.9792       7781.6458          -176.07728                         2170.4197       2193105.8       477.02715
      2.275      -5081.8107       7934.5614          -28.303926                         2078.2422       2066325.5        477.3924
       2.28      -5044.8702       7956.8424          -310.31177                         1997.6335       1889707.9       479.47183
      2.285      -5003.1027       8001.2445          -19.406103                         1898.0056       1735046.5        479.5693
       2.29      -4965.9594       7923.7803           68.978449                         1818.2524       1630946.2       483.54544
      2.295      -4926.6143       7748.0699           50.198361                         1722.4129       1497002.5       482.70261
        2.3      -4884.4574       7667.6391          -41.222316                          1611.261       1347688.8       478.89517
