20x20 spins, 1 Temperature, random initial state
Monte Carlo cycles     Avg. energy   Heat capacity  Avg. magnetization   Avg. magnetization (abs. value)  Susceptibility            Time    Accepted configs
                  0            -nan            -nan                -nan                              -nan            -nan       0.0037113               0
              1e+02         -680.08       3983.9936              118.22                            118.62        947.5116        0.001901            2582
              2e+02         -778.64       3198.7904              377.33                            377.33       4067.6111       0.0038857            1269
              3e+02          -792.2       1744.6533           394.64667                         394.64667       994.39516       0.0056169             740
              4e+02          -786.3         2310.15             381.665                           381.665       4179.3778       0.0076594            1565
              5e+02        -749.688       3969.5347             253.696                           266.504       32413.332       0.0099494            5368
              6e+02      -696.23333       580.23889               -1.61                             33.87       1724.4146       0.0113236           11366
              7e+02          -788.8       1642.4686          -383.00286                         383.06571       3749.5028       0.0130656            2008
              8e+02        -697.545       609.79298            132.2275                          135.5025       3899.6932       0.0153387           14923
              9e+02      -699.02667       504.38596           105.29333                         105.48889       2578.1762       0.0173046           15897
              1e+03        -733.356       2858.2093             -211.73                            211.73       22522.107       0.0189438           12717
            1.1e+03         -736.84       2795.1199           249.88909                         249.88909       15918.311       0.0206679           12884
            1.2e+03      -696.35333       344.16849           30.736667                             71.35        5887.524       0.0228188           23411
            1.3e+03      -793.85846       847.84458             -391.56                            391.56       1905.9418       0.0246197            2110
            1.4e+03      -780.90286       1803.0934          -356.91143                         357.18286       10377.375       0.0264549            5458
            1.5e+03        -795.352        714.3641           394.76533                         394.76533       1171.7983       0.0282094            1795
            1.6e+03       -746.2375       2730.3836           274.55375                         274.55375       14930.191       0.0301183           15149
            1.7e+03      -795.02353       634.29356          -392.28824                         392.45059       2225.8769       0.0318144            2258
            1.8e+03         -794.92       668.52249          -393.66444                         393.66444       1618.1541       0.0338217            2448
            1.9e+03      -796.78737       510.35268          -397.36316                         397.36316       571.22601       0.0357416            1738
              2e+03         -761.57       2757.9751            -276.511                           284.553       29599.889        0.037776           14147
            2.1e+03         -796.32       454.92236          -396.17238                         396.17238       724.69219       0.0392273            2053
            2.2e+03      -797.20182         404.192           398.09182                         398.09182       346.81521        0.041253            1676
