20x20 spins, 1 Temperature, random initial state
Monte Carlo cycles     Avg. energy   Heat capacity  Avg. magnetization   Avg. magnetization (abs. value)  Susceptibility            Time    Accepted configs
               1000            -nan            -nan                -nan                              -nan            -nan       0.0190931            2355
               1001            -800               0                -400                               400               0       0.0217284            1940
               1002            -800               0                 400                               400               0       0.0191858            1556
               1003            -800               0                -400                               400               0       0.0191765            2040
               1004            -800               0                 400                               400               0       0.0187921            3724
               1005          -798.4           10.24              -399.6                             399.6            0.64       0.0187757            3643
               1006            -800               0                -400                               400               0       0.0187239            2327
               1007            -800               0                 400                               400               0       0.0187565            1165
               1008            -800               0                -400                               400               0       0.0188314            2835
               1009            -800               0                 400                               400               0       0.0187919            1727
               1010          -799.2            5.76              -399.8                             399.8            0.36       0.0188459            2103
               1011      -799.27273       5.2892562          -399.81818                         399.81818      0.33057851        0.018983            2240
               1012            -800               0                 400                               400               0        0.018919           10099
               1013            -800               0                 400                               400               0       0.0193574           14996
               1014      -796.85714        41.55102           399.14286                         399.14286       3.2653061       0.0187918            1481
               1015      -799.46667       3.9822222          -399.86667                         399.86667      0.24888889       0.0189228            1502
               1016            -800               0                -400                               400               0       0.0189304            2326
               1017      -798.58824       9.3010381          -399.64706                         399.64706      0.58131488       0.0190029            1782
               1018      -697.77778       19.950617          -37.555556                         37.555556       397.58025       0.0191966           18919
               1019      -799.57895       3.1911357           399.89474                         399.89474      0.19944598       0.0188722            1359
               1020          -799.6            3.04               399.9                             399.9            0.19       0.0189834            1768
               1021      -700.38095       51.664399          -11.142857                         13.809524       280.59864       0.0193075           19589
               1022      -798.90909       7.5371901           399.72727                         399.72727      0.47107438       0.0190234            1647
               1023      -799.30435       5.0812854          -399.82609                         399.82609      0.31758034       0.0190219            1557
               1024      -799.33333       4.8888889           399.83333                         399.83333      0.30555556       0.0191011            1996
               1025         -798.72          8.6016              399.68                            399.68          0.5376        0.044642            1560
               1026      -798.46154       9.9408284          -399.61538                         399.61538      0.62130178       0.0213652            2485
               1027      -799.11111       6.3209877          -399.77778                         399.77778      0.39506173         0.01941            2585
               1028      -797.85714       14.265306           399.42857                         399.42857       1.1020408       0.0192005            1914
               1029      -799.44828       4.1093936           399.86207                         399.86207       0.2568371       0.0191677            2095
               1030          -798.4       18.773333               399.6                             399.6       1.1733333       0.0192522            3117
               1031      -701.29032       38.593132           154.83871                         154.83871       114.26431       0.0194044           20018
               1032            -799               7             -399.75                            399.75          0.4375        0.019195            1794
               1033      -797.57576       13.516988          -399.39394                         399.39394      0.84481175       0.0192677            1451
               1034      -700.94118        96.99654          -49.647059                         49.647059       409.75779       0.0194557           18907
               1035      -798.85714       7.8367347           399.71429                         399.71429      0.48979592       0.0193525            1520
               1036      -799.55556       3.3580247          -399.88889                         399.88889      0.20987654        0.019647            1710
               1037      -799.35135       4.7684441           399.83784                         399.83784      0.29802776       0.0194807            2518
               1038      -799.78947       1.6398892           399.94737                         399.94737      0.10249307       0.0193008            1138
               1039      -798.35897       13.717291          -399.58974                         399.58974       0.8573307       0.0193458            1386
               1040          -799.2            5.76              -399.8                             399.8            0.36       0.0192839            1381
               1041      -799.60976       2.9696609           399.90244                         399.90244      0.18560381       0.0193734            2367
               1042      -799.42857        4.244898           399.85714                         399.85714      0.26530612       0.0195656           14667
               1043      -798.04651       12.928069           399.48837                         399.48837      0.94753921       0.0195284            2577
               1044      -799.27273       5.2892562           399.81818                         399.81818      0.33057851       0.0193995            1048
               1045      -799.28889       5.1832099          -399.82222                         399.82222      0.32395062       0.0195604            2579
