20x20 spins, 1 Temperature, random initial state
Monte Carlo cycles     Avg. energy   Heat capacity  Avg. magnetization   Avg. magnetization (abs. value)  Susceptibility            Time    Accepted configs
                  0            -nan            -nan                -nan                              -nan            -nan       0.0026944               0
              1e+03        -793.964        961.5667             393.366                           393.366        1385.074       0.0192531            1696
              2e+03        -698.428       251.94482              15.709                            44.771       2932.5573       0.0443093           36247
              3e+03            -798       247.62667           398.99667                         398.99667       136.45332       0.0565296            1671
              4e+03        -797.217       331.75491            -397.397                           397.398       651.02239       0.0751372            2913
              5e+03       -784.9064       1306.8232             356.094                          356.4468       12722.331       0.0933544           14249
              6e+03      -798.37133       117.41944          -399.36533                         399.36533       63.694532       0.1117965            2582
              7e+03      -798.19714       148.90742           398.56343                         398.56343       257.98312       0.1305797            3375
              8e+03        -796.149        474.7658          -394.35875                         394.46225       1727.4188       0.1507231            7995
              9e+03      -797.99556       160.63287           398.37378                         398.38133       370.94118       0.1833011            4603
              1e+04       -798.1776       114.66286           -398.6626                          398.6626       259.03576       0.2184924            4607
            1.1e+04        -767.276       2209.5806           277.31055                         294.18836       34602.796       0.2135741           64383
            1.2e+04        -798.095       133.09497           398.02317                         398.02317       496.74113       0.2821214            6027
            1.3e+04      -798.19662       110.66165           398.74615                         398.74615       240.59525       0.2696485            5966
            1.4e+04      -798.34514       108.69459            -398.795                           398.795       250.34312       0.3416082            5874
            1.5e+04      -798.47253       78.287646           -399.1668                          399.1668       119.60684       0.3105361            5876
            1.6e+04      -798.58125       80.914148          -399.44912                         399.44912       61.438287       0.3506429            5995
            1.7e+04      -798.27859       95.946859           398.91471                         398.91471        157.5659       0.3213707            7148
            1.8e+04        -798.692       47.455358          -399.43722                         399.43722       57.007059       0.3436812            6219
            1.9e+04      -798.66905       55.890895          -399.43347                         399.43347       67.831048       0.3580256            6745
              2e+04       -798.5492       60.895179            399.2918                          399.2918       79.232453       0.4825664            7509
            2.1e+04      -798.70476       43.134549           399.54829                         399.54829       32.833859       0.5075059            7105
            2.2e+04      -798.72218        35.81009           399.62527                         399.62527       12.747943       0.4825561            7260
            2.3e+04      -798.43513       83.455879          -398.93704                         398.93704       213.29795       0.4793567            9397
            2.4e+04      -798.60067       61.704533           -399.2955                          399.2955       95.664013       0.4668068            8659
            2.5e+04      -798.64416       55.538978           399.30288                         399.30288       97.569064       0.5444174            8776
            2.6e+04      -798.54615       66.541101           399.35738                         399.35738        85.50643       0.5480309            9533
            2.7e+04        -798.808       31.880469           399.65119                         399.65119       14.148106       0.5415675            8390
            2.8e+04      -798.69943       42.275371           399.49079                         399.49079       46.811415        0.554133            9624
            2.9e+04      -798.74248       40.788306          -399.54469                         399.54469       35.405106       0.5604277            9591
              3e+04      -797.62107       147.99721          -396.42307                         396.42307       968.72581       0.5669071           16062
            3.1e+04      -798.64168       55.843218          -399.34594                         399.35161       108.06639       0.5887991           10889
            3.2e+04         -785.07       1215.1111           348.68394                         355.16131       17351.872       0.6809134           87151
            3.3e+04      -798.71588       36.157578           399.52891                         399.52891       36.876376       0.7456247           10780
            3.4e+04        -798.728       46.942016           399.43818                         399.43865       75.695295       0.6462074           11290
            3.5e+04      -798.65771       40.758726           399.47583                         399.47583       54.722616       0.7078014           11911
            3.6e+04      -797.62244       147.07079          -395.14967                           396.205       1955.0172       0.6999164           19075
            3.7e+04      -798.73276       34.350851          -399.57168                         399.57168        25.09243        0.710544           12189
