20x20 spins, 1 Temperature, random initial state
Monte Carlo cycles     Avg. energy   Heat capacity  Avg. magnetization   Avg. magnetization (abs. value)  Susceptibility            Time    Accepted configs
                  0            -nan            -nan                -nan                              -nan            -nan        5.64e-05               0
              5e+02        -787.416       1932.3629             384.628                           384.628       3022.8616       0.0093453            1821
              1e+03        -791.944       1100.9889             388.422                           388.422       2522.9139       0.0189618            2152
            1.5e+03        -795.912       460.07759            -396.416                           396.416       578.44561       0.0286241            1570
              2e+03        -795.436        660.6419             394.791                           394.791       1251.6803       0.0377049            2416
            2.5e+03       -796.1264       505.43682           -394.9192                          394.9544       1345.0703       0.0466617            2574
              3e+03        -790.132       966.62791           379.82733                         379.82733       4718.7742       0.0562593            6127
            3.5e+03      -794.39657       601.41073          -391.45143                         391.47657       2019.2762       0.0653405            4319
              4e+03        -780.503        1589.367              339.71                           340.819       17189.368       0.0752482           14194
            4.5e+03      -797.75022        256.0265            -398.104                           398.104       375.43274       0.0847988            2829
              5e+03       -782.3464       1514.7728           -342.7496                          347.9968       18282.964        0.099587           16684
            5.5e+03      -798.05236       162.22853          -398.58655                         398.58655       211.24796       0.1232462            2921
              6e+03        -797.962       199.66256          -398.65467                         398.65467       235.23141       0.1255706            3217
            6.5e+03      -797.63569       241.12513           397.41538                         397.42462       679.97453        0.162502            4164
              7e+03      -798.29829        126.6676          -399.09314                         399.09314       128.66675       0.1971777            3037
            7.5e+03      -797.98453       165.97096          -398.39813                         398.39813       332.10656       0.1773483            3876
              8e+03        -798.404       107.73678           399.40725                         399.40725       58.260147       0.1804533            3297
            8.5e+03      -797.65035       183.07022          -397.52894                         397.64471       667.24822       0.1966375            4963
              9e+03      -798.33644       125.97036          -399.01844                         399.01844       160.09033       0.2018747            4049
            9.5e+03      -798.44884        104.7838           399.37074                         399.37074       68.196449       0.2060776            3761
              1e+04       -798.2988       110.48992            398.8416                          398.8416       215.99891       0.2137141            4401
              1e+04      -783.92495       1338.7448           348.96876                         353.90743       16127.672       0.2097943           31048
            1.1e+04      -798.34873        97.44348          -399.03655                         399.03655       133.83721       0.2541586            4631
            1.2e+04      -797.95513       160.83416           -397.7847                          397.8647       587.77556       0.2205967            5973
            1.2e+04        -798.321       114.89696           -398.7625                          398.7625       247.58359       0.2266685            5347
            1.2e+04      -791.45536       714.64993           366.63872                         378.32032       14780.737       0.2377964           20258
            1.3e+04      -798.41846       95.911044           399.09077                         399.09077       128.94253        0.244887            5420
            1.4e+04      -798.57867       76.196108            -399.432                           399.432       60.138413       0.2600577            4995
            1.4e+04      -798.55029       66.389757          -399.35357                         399.35357        77.45613       0.2635674            5234
            1.4e+04      -798.46593       100.40967          -399.25517                         399.25517       107.79227       0.2730784            5841
            1.5e+04      -792.75067        619.3309           382.97813                         383.10987       4713.7686       0.2794707           21238
            1.6e+04      -798.45703       83.167638           399.00374                         399.00865       203.19457       0.2935992            6203
            1.6e+04      -798.69325       50.713404           399.56212                         399.56212       25.307015       0.2998973            5415
            1.6e+04         -793.68       545.94851           386.16133                          386.1657       3552.6312       0.3111033           20484
            1.7e+04      -798.63059       57.104476           399.45906                         399.45906       41.690441       0.3220102            6014
            1.8e+04      -798.32914       94.475436            398.6856                         398.68583       289.69704        0.330191            7556
            1.8e+04        -798.548       76.901474           399.35956                         399.35956       73.755609       0.3368925            6842
            1.8e+04      -798.58227       62.719123           399.35222                         399.35222       89.897349       0.3747662            6789
            1.9e+04      -798.62084       58.913924          -399.47021                         399.47021       44.416376       0.3970659            6701
              2e+04      -798.60349       71.899188           399.24277                         399.24277       125.72219       0.3819867            7332
              2e+04       -798.6498        53.96016           -399.4684                          399.4684       46.624601       0.3757452            7002
              2e+04      -798.67005       55.714157           399.49746                         399.49746       48.327164       0.3860525            7184
            2.1e+04      -798.69619       47.678366           399.53276                         399.53276       37.420165       0.3982668            7021
            2.2e+04      -798.56409       58.845334          -399.25172                         399.25172       107.11599       0.4613946            7946
            2.2e+04      -798.44927       62.330518          -399.07218                         399.07218       168.99697       0.5040443            8446
            2.2e+04      -793.41831       547.21933           378.76533                         381.87929       8160.3963       0.4485568           28683
            2.3e+04         -798.52        58.31047          -399.23904                         399.23904       107.42703        0.479993            8360
            2.4e+04      -798.65191       43.139262           399.49915                         399.49915       39.706084       0.4519483            8158
            2.4e+04      -798.64317       50.590337           399.41558                         399.41558       70.056624       0.4591952            8257
            2.4e+04      -798.54024       68.431727           399.25159                         399.25159       99.023232       0.5008913            9227
            2.5e+04      -795.30688       376.92886          -390.39192                         390.39192       2478.5339        0.491877           23421
            2.6e+04       -792.1829       649.26537          -375.64643                         379.32894       8844.3446       0.4862684           37463
            2.6e+04      -798.74231       40.075441          -399.60531                         399.60531       19.412372       0.4875665            8487
            2.6e+04      -798.66158        51.55506          -399.42294                         399.42294       77.090704       0.5094086            9205
            2.7e+04       -798.7123       42.849078          -399.57852                         399.57852       29.010502       0.5044295            9050
            2.8e+04      -796.85062       219.66801           394.97556                         394.97644       1208.9721       0.6309402           17699
            2.8e+04      -797.77114       130.61848           -397.2495                          397.2495       606.52261       0.5781625           13755
            2.8e+04        -798.712       47.946109          -399.47095                         399.47347        66.44277       0.6714519            9760
            2.9e+04      -798.21448       95.649445           398.59055                         398.59055        232.6238       0.5596879           12280
              3e+04      -798.55742       59.441957           399.27254                         399.27254        126.8544       0.5822875           10683
              3e+04      -798.62253       44.737786             -399.25                            399.25       125.70097       0.6189328           10604
              3e+04      -798.64538       51.310702           399.35121                         399.35187        97.47678       0.6376541           10666
            3.1e+04      -798.70439       42.390032          -399.51361                         399.51361       46.003815       0.6188245           10432
