20x20 spins, 2.4 Temperature, random initial state
Monte Carlo cycles     Avg. energy   Heat capacity  Avg. magnetization   Avg. magnetization (abs. value)  Susceptibility            Time    Accepted configs
              1e+02            -nan            -nan                -nan                              -nan            -nan       0.0082331            9363
              1e+02            -424               0                 -36                                36               0       0.0121669           10990
              1e+02            -476       2.7777778                 193                               193           33.75       0.0086551           11709
              1e+02            -484       24.074074           129.33333                         129.33333       102.59259       0.0081845           11512
              1e+02            -530       36.805556               196.5                             196.5         10.3125       0.0082725           12744
              1e+02            -440       22.222222               148.4                             148.4       134.26667        0.010137           13278
            1.1e+02            -450       126.62037           104.33333                         104.33333       295.23148        0.008632           13649
            1.1e+02      -447.42857       60.657596          -65.428571                         65.428571        172.2449       0.0083681           11491
            1.1e+02            -436       88.888889               48.25                             48.25       219.34896       0.0084822           13056
            1.1e+02      -460.44444       180.52126                 -86                                86        39.62963        0.008692           13372
            1.1e+02          -490.8       446.13889               227.6                             227.6       544.26667        0.008484           12388
            1.1e+02      -458.54545       273.37006          -36.363636                         36.363636       140.55096       0.0086034           13186
            1.1e+02      -445.33333       128.85802               -73.5                              73.5       579.75694       0.0087369           14269
            1.1e+02      -527.38462       234.97699                -244                               244       203.33333       0.0088606           12893
            1.1e+02      -459.42857       102.32426           159.14286                         159.14286       233.02721       0.0088497           14372
            1.2e+02      -486.66667       170.61728          -183.86667                         183.86667       181.21481       0.0090516           14108
            1.2e+02            -528       258.68056            -272.625                           272.625       340.56641       0.0089967           13796
            1.2e+02      -524.47059       212.05306          -230.23529                         230.23529       188.60438       0.0090751           12414
            1.2e+02      -606.44444       182.75892           320.22222                         320.22222       63.127572       0.0091058           12139
            1.2e+02      -486.31579       318.80579           157.26316                         157.26316       1026.7036       0.0093531           14777
            1.2e+02          -470.2        325.6875               -45.4                              45.4       612.51667       0.0093395           15479
            1.2e+02      -418.47619       854.88788           122.66667                         122.66667       1817.3545        0.009437           15527
