20x20 spins, 2.4 Temperature, random initial state
Monte Carlo cycles     Avg. energy   Heat capacity  Avg. magnetization   Avg. magnetization (abs. value)  Susceptibility            Time    Accepted configs
                  0            -nan            -nan                -nan                              -nan            -nan        6.96e-05               0
              5e+02          -502.2       569.15417             211.204                           214.988       2803.1327        0.010095           52692
              1e+03        -484.736       482.01707             -47.894                           162.882        13253.29       0.0202658          112000
            1.5e+03      -493.23467       546.48164           53.190667                           182.604       16354.122       0.0300397          162273
              2e+03         -495.71       660.92845              24.429                           186.149       17809.499       0.0402655          215142
            2.5e+03       -501.0352       596.42395            -72.9776                          197.1408        17411.87       0.0498415          262407
              3e+03         -494.72       576.81185          -159.86533                         179.31067       6464.0502       0.0615212          324012
            3.5e+03        -497.872       570.22176          -72.633143                         190.37029       16223.368       0.0699476          372410
              4e+03        -505.838       628.50378             -14.578                           198.883       20256.506       0.0810039          415535
            4.5e+03      -489.13689       485.57252             -51.484                         177.88667       15077.922       0.0995387          494589
              5e+03       -485.2408        538.4266            -65.8788                          163.3036       12884.766       0.1195777          556331
            5.5e+03      -491.13673       551.11052          -71.037455                         166.25127       13201.125       0.1249156          600469
              6e+03        -494.024       566.08046              72.493                         177.93767       14701.176       0.1292679          648340
            6.5e+03      -494.37846       562.64137          -125.76708                         182.23477       10879.743       0.1405043          701744
              7e+03      -487.84686       528.97212               67.39                         167.58771       13327.659        0.238846          771329
            7.5e+03       -495.5648       610.63675           11.340533                          184.0952       17602.632       0.1690657          807417
              8e+03       -488.6465       517.75556           -18.81225                         165.96625       14950.399       0.1765153          881331
            8.5e+03      -495.12471        539.2232           13.108941                         177.85718       16696.782        0.179027          914814
              9e+03      -497.24667       541.92061           87.995333                           186.318        14535.36       0.1839101          962739
            9.5e+03      -488.50316         534.254          -57.674105                         166.52042       13719.042       0.1998441         1045080
              1e+04       -495.4912       559.44283              5.1234                          182.2802       17301.895       0.2125008         1072327
              1e+04      -493.12762       577.38771              36.272                         176.05486       16052.069       0.2188971         1138086
            1.1e+04      -496.29127       563.80775          -33.449818                           183.304       17070.462       0.2397812         1179082
            1.2e+04      -489.58609       538.65697          -63.347304                         171.79148       14138.846       0.2518692         1261311
            1.2e+04      -497.26467       545.39872           87.579333                         189.87267       15068.726       0.2720656         1281458
            1.2e+04      -493.24864       542.80177              9.1952                            178.08       16604.664       0.3983333         1354740
            1.3e+04      -497.87538       601.85884              -8.052                         188.24369       18330.725         0.31753         1384994
            1.4e+04      -487.35378       531.81577           26.810815                         167.88785       14848.764       0.3098347         1491126
            1.4e+04      -495.77571       557.96686           11.554286                         185.99086         17740.7        0.355286         1501916
            1.4e+04      -499.25076       593.72706            7.606069                         191.26345       18813.266       0.2953928         1536925
            1.5e+04       -492.3368       533.97086           62.527467                         181.33867       15321.555       0.3133822         1630253
            1.6e+04      -489.21239       514.71578           21.934581                         173.87574       15707.738       0.3359555         1702967
            1.6e+04      -489.90975        541.1406            10.86825                         171.79525       15744.473       0.3403039         1753392
            1.6e+04      -494.76873       514.24808          -45.044727                         183.39115       16454.305       0.3540598         1776484
            1.7e+04      -488.58094       526.00595           43.931412                         169.94647       14643.939       0.3419283         1870223
            1.8e+04      -494.58994       569.61878          -17.060229                         179.07143       16948.781       0.4119668         1890226
