20x20 spins, 1 Temperature, random initial state
Monte Carlo cycles     Avg. energy   Heat capacity  Avg. magnetization   Avg. magnetization (abs. value)  Susceptibility            Time    Accepted configs
                  0            -nan            -nan                -nan                              -nan            -nan        7.23e-05               0
                  1            -296               0                  30                                30               0        3.95e-05             192
                  2            -406            6084                 -58                                58             196        6.44e-05             328
                  3      -378.66667       6680.8889           72.666667                         72.666667       624.88889        9.55e-05             457
                  4            -484            9104                -141                               141            1659       0.0001113             436
                  5          -425.6         6288.64               -42.8                              42.8          135.36       0.0001382             609
                  6      -477.33333       9875.5556          -125.33333                         125.33333       2122.2222       0.0001647             593
                  7            -516       7433.1429           12.285714                         14.571429        216.4898       0.0001831             671
                  8            -512           12332             -125.25                            125.25       2874.9375       0.0002132             672
                  9      -512.44444       9743.8025          -46.888889                         46.888889       322.76543       0.0002315             776
                 10          -512.4         8571.04                22.2                              23.8          161.96       0.0002565             852
                 11      -560.72727       10789.289           154.54545                         154.54545       2023.3388       0.0002778             827
                 12            -584       11605.333          -43.666667                         52.333333       1911.2222        0.000301             760
                 13      -546.76923       7496.3314           70.923077                         72.153846        2412.071       0.0003248             939
                 14      -572.85714       15518.122          -177.14286                         177.14286       5320.4082       0.0003475             944
                 15          -541.6       11564.373                -7.6                         9.4666667       67.306667       0.0003742            1117
                 16         -591.75       9328.9375              155.25                            155.25       3038.9375       0.0003942             980
                 17      -589.41176       7787.1834           21.647059                         22.588235        181.2872       0.0004208            1068
                 18      -636.44444       12053.136           221.66667                         221.66667       5789.4444       0.0004385             875
                 19      -591.78947       8908.5873          -10.315789                         14.315789        247.2687       0.0004668            1182
                 20          -601.8         9147.96                67.9                              74.7         3479.39         0.00049            1105
                 21      -607.04762       10288.617           135.71429                         136.66667       5378.7755       0.0005108            1125
                 22            -648       13357.091           233.90909                         233.90909       5145.9917       0.0005319             945
                 23      -638.95652       14179.085          -237.21739                         237.21739       6632.9527       0.0005575            1089
                 24      -614.33333       5190.5556          -35.416667                         38.916667       482.49306       0.0005758            1146
                 25         -657.28       10869.402             -209.84                            209.84       5044.7744       0.0006052            1126
                 26      -646.76923        11013.87           207.23077                         207.23077       2587.1006       0.0006257            1072
                 27      -625.92593       8882.2167            135.7037                          135.7037       1321.0974       0.0006519            1313
