20x20 spins, 2.4 Temperature, random initial state
Monte Carlo cycles     Avg. energy   Heat capacity  Avg. magnetization   Avg. magnetization (abs. value)  Susceptibility            Time    Accepted configs
                  0            -nan            -nan                -nan                              -nan            -nan        5.89e-05               0
                  1            -240               0                 -48                                48               0        3.86e-05             230
                  2            -254       667.36111                  37                                37            3.75        7.15e-05             449
                  3      -302.66667       1069.1358          -32.666667                         32.666667       84.814815        7.42e-05             562
                  4            -316       561.11111                  45                                45       247.08333        9.31e-05             765
                  5            -348       554.44444                64.8                              64.8       131.73333       0.0001207             920
                  6            -342       845.13889                  -8                         16.666667       139.44444        0.000134            1037
                  7            -348       902.38095          -31.714286                         32.857143       248.77551       0.0001588            1222
                  8            -403       1233.8542             -107.25                            107.25       997.47396       0.0001746            1149
                  9      -388.44444        786.6941           113.55556                         113.55556       656.21399       0.0002261            1377
                 10          -364.4       579.13889               -88.6                              91.4       1177.0167        0.000217            1645
                 11      -354.18182       723.41598           31.272727                         35.272727       230.08264       0.0002374            1817
                 12            -390       690.97222               -55.5                              55.5       261.70139       0.0002539            1776
                 13      -400.92308       745.79224          -11.846154                         31.846154       547.81065       0.0002761            1884
                 14      -421.71429       1279.2517          -102.71429                         103.85714       1087.7636       0.0002953            1963
                 15      -416.26667       551.28395          -85.733333                                90       848.85926       0.0003159            2096
                 16            -403       677.60417              49.375                            61.125       892.23307       0.0003367            2372
                 17      -392.94118       923.04883          -41.411765                         47.529412       690.14994       0.0003562            2581
                 18            -432       976.54321                -104                               104       529.44444       0.0003759            2526
                 19      -363.57895        277.4546          -53.894737                         53.894737       214.81994       0.0004182            2991
                 20            -403        567.1875               -14.2                              24.2       242.98333       0.0004197            2992
                 21      -400.19048        478.6974         -0.47619048                         25.047619       425.22298       0.0004392            3073
                 22      -408.90909       433.31612           20.363636                         32.363636       409.03581       0.0004573            3091
                 23       -434.6087       1033.7219                  54                         56.782609       487.68116       0.0004842            3131
                 24      -433.16667       801.49981          -137.83333                         137.83333       1046.6551       0.0005134            3273
                 25         -456.48       509.40444             -100.72                            106.32        2394.784       0.0005482            3105
                 26      -421.84615       535.09204           7.4615385                         30.230769       496.99458       0.0005364            3534
                 27      -407.55556       1080.1097          -96.962963                         98.148148       2055.7247       0.0005715            3837
                 28      -433.28571       676.39952           51.714286                                57       659.37075       0.0005756            3785
                 29      -467.31034       645.41551          -5.5862069                         47.517241       1358.2045       0.0005911            3517
                 30          -434.8       1276.3241          -128.13333                         130.53333       1573.5481       0.0006162            4091
                 31      -460.25806       990.49023          -117.67742                         117.67742       722.05342       0.0006309            3715
                 32          -417.5       306.72743              65.375                                67       735.98307        0.000662            4413
                 33      -448.72727       609.16743           121.93939                         121.93939       1883.7863       0.0006731            4169
                 34      -410.94118       459.85438          -1.1764706                         33.882353       611.48212       0.0007002            4702
