20x20 spins, 1 Temperature, ordered initial state
Monte Carlo cycles     Avg. energy   Heat capacity  Avg. magnetization   Avg. magnetization (abs. value)  Susceptibility            Time    Accepted configs
                  0            -nan            -nan                -nan                              -nan            -nan       0.0033055               0
              1e+03        -798.836       10.469104               399.7                             399.7           0.742       0.0188731             312
              2e+03        -798.932        8.875376             399.727                           399.727        0.595471       0.0374773             536
              3e+03        -798.856       9.4539307           399.70867                         399.70867      0.63112489       0.0564993             858
              4e+03        -798.817       10.028511             399.696                           399.696        0.697584       0.0750047            1244
              5e+03       -798.7808       10.084751            399.6912                          399.6912      0.66144256       0.0944693            1494
              6e+03      -798.88267       9.1035662           399.71467                         399.71467      0.62258489       0.1130859            1770
              7e+03      -798.80914       9.8550021           399.69657                         399.69657      0.65764539       0.1316538            2051
              8e+03       -798.8455       9.0931297             399.706                           399.706        0.605564       0.1581263            2428
              9e+03      -798.88089       9.1404792           399.71511                         399.71511      0.60950499       0.1736533            2544
              1e+04       -798.8188       9.8223666            399.6994                          399.6994      0.65243964        0.213838            2998
            1.1e+04      -798.88545       9.4443339           399.71673                         399.71673      0.62739293       0.2235213            3070
            1.2e+04      -798.91467       8.8513849           399.72367                         399.72367      0.58963989        0.234112            3293
            1.3e+04      -798.86492       9.5042158           399.71154                         399.71154      0.62909763       0.2588849            3754
            1.4e+04      -798.87457       9.3676962           399.71314                         399.71314      0.62628441        0.283134            4084
            1.5e+04       -798.8912       9.2430959           399.71667                         399.71667      0.62398889       0.3146127            4382
            1.6e+04      -798.85875       9.3885484           399.70913                         399.70913      0.62914173       0.3090235            4660
            1.7e+04      -798.86306       9.2824236           399.71118                         399.71118       0.6151692        0.318956            4818
            1.8e+04      -798.90933       8.9348907             399.722                           399.722      0.59604933       0.3444973            4996
            1.9e+04      -798.88758       9.2905194           399.71695                         399.71695      0.61777594       0.3618209            5490
              2e+04       -798.8584       9.3607494            399.7092                          399.7092      0.62423536       0.3787399            5739
            2.1e+04      -798.86914       9.2514478           399.71143                         399.71143      0.62301224        0.397203            6196
            2.2e+04      -798.82673       9.8459766           399.70018                         399.70018      0.66865451       0.4141672            6472
            2.3e+04      -798.88122       9.1545863           399.71496                         399.71496      0.61266326       0.4371717            6708
            2.4e+04      -798.84417       9.4460493           399.70492                         399.70492      0.63375916       0.4505747            6914
