20x20 spins, 2.4 Temperature, ordered initial state
Monte Carlo cycles     Avg. energy   Heat capacity  Avg. magnetization   Avg. magnetization (abs. value)  Susceptibility            Time    Accepted configs
                  0            -nan            -nan                -nan                              -nan            -nan        4.81e-05               0
              1e+03          -504.5       578.35382              192.39                           198.238       3806.5883       0.0202234          104065
              2e+03         -504.76        493.0525             200.204                           210.148       4546.8927       0.0419072          207488
              3e+03      -504.87867       538.16874           31.973333                         202.40267       20198.721       0.0630008          311324
              4e+03        -493.808       528.42138              52.205                               177       15366.966       0.0823035          432103
              5e+03       -497.5616        570.5133            -84.2656                          184.8432       14975.972       0.1009026          533979
              6e+03      -498.23667       600.51991          -70.631333                           188.084        16397.55       0.1210789          636328
              7e+03      -496.24514       579.47092           5.3645714                         192.20914       18480.645       0.1485509          749583
              8e+03       -494.1535       550.29035             37.6055                           181.475       16676.936       0.2001773          863103
              9e+03      -487.73422       563.18218          -30.725333                         159.55156       14092.026       0.1860696          992639
              1e+04       -500.0552       618.43169             38.7998                           190.523       18226.995       0.2550038         1057762
            1.1e+04      -491.44909       567.47332          -19.877091                         174.26364       16194.102       0.2450232         1197942
            1.2e+04      -495.82233       598.07855           74.675667                         182.41133        15257.18       0.2556703         1288423
            1.3e+04      -492.45754       554.95361           55.572154                         175.20354       15146.101       0.2780858         1411623
            1.4e+04         -494.16       568.78167           53.934429                         180.33043        15855.99       0.2943936         1512935
            1.5e+04       -493.7512       589.92481           5.8362667                           179.388       16979.776       0.3688177         1621119
            1.6e+04      -493.98925       565.15831            -4.43475                           180.261       17000.467       0.3273941         1728752
            1.7e+04      -495.78541        585.7492          -19.817529                         184.38153       17424.662       0.3428224         1824100
            1.8e+04      -497.06622       612.96899           20.681667                         186.52278       17847.611       0.3825172         1923915
            1.9e+04      -495.41642       587.70549          -28.624842                         182.22168       17143.492       0.3915159         2041833
              2e+04       -495.2872       581.02401              4.6014                          179.9858       17126.885       0.4051124         2154799
            2.1e+04      -499.04781       578.39643           59.447905                         189.84333       17000.853       0.4722982         2228692
            2.2e+04      -492.19564       561.61103              -44.29                         177.27073       15619.598       0.4584334         2391519
            2.3e+04      -498.54835       566.73355               1.986                         188.89939       18341.387       0.4632561         2446015
            2.4e+04       -494.3385       568.16136           68.284833                         180.02733       15155.535       0.4878613         2591236
            2.5e+04      -495.51616       565.56025             1.62304                         183.65264       17543.473       0.5116163         2688092
            2.6e+04      -494.19785       578.22055           14.657308                         180.93977       17229.584       0.5383556         2805837
            2.7e+04      -496.67259       576.92496          -33.234963                         184.03689       17239.911       0.5602795         2891187
            2.8e+04      -494.38243       535.38433          -27.518786                         182.09007       16787.343       0.6189788         3019713
            2.9e+04      -492.80097       559.42473           52.824069                         176.69979       15466.788       0.5958495         3145039
              3e+04       -494.1804       554.33324          -9.7683333                         178.03487       16831.281       0.6443638         3236623
            3.1e+04      -494.96748        575.4056            2.649871                         184.66794       17593.146       0.6604892         3336105
            3.2e+04      -489.61525       538.37656           11.858688                         168.41831       15429.998       0.7630919         3510226
            3.3e+04      -494.79079       575.45642          -18.289758                         182.50855       17341.772       0.6812259         3553098
            3.4e+04      -492.86588       540.24369           18.651412                         179.08647        16635.47       0.7182946         3684380
            3.5e+04      -496.38503        532.5745           17.390057                         186.30183       17600.467       0.7197166         3750172
            3.6e+04      -491.17944       543.16173          -19.356056                          174.4615       16002.085        0.743512         3929209
            3.7e+04      -493.35016        542.8423           5.8072973                         177.91876       16611.161       0.7768089         4007141
            3.8e+04      -495.76274       568.20455          -7.9322105                         184.39495       17632.224       0.7990094         4080689
            3.9e+04      -496.41672       569.70796           14.715949                         183.76108       17552.653       0.8308039         4178957
              4e+04       -492.1744       564.58347              0.6546                          176.3913       16565.243       0.8457771         4350597
            4.1e+04      -494.89571       563.39093           -2.643122                         182.82673       17384.724       0.8414386         4414860
            4.2e+04      -493.73838       582.13415          -39.794286                         176.69352       16080.075       0.8676552         4540435
            4.3e+04      -493.29963       557.37233           4.5383256                         178.44679       16734.184        0.941804         4658223
            4.4e+04      -494.07918       557.13831           4.2012727                         182.06936       17241.927       0.9561117         4749772
            4.5e+04      -495.13271       539.17478           4.7421778                         183.74173       17396.506       0.9809295         4843261
            4.6e+04      -496.43104       572.41491           21.452261                         184.55026        17592.29       0.9351582         4925238
            4.7e+04      -495.78247       573.30798           27.965787                         183.78102       17290.063       0.9494532         5043896
            4.8e+04        -491.629        542.8283           6.1674167                         174.91467        16181.75       0.9721019         5224716
            4.9e+04      -496.22098        563.7358           19.197878                         186.84849       17788.847        0.998964         5249708
              5e+04      -498.41288       567.46696                3.86                         189.34424       18362.335       1.0316499         5318694
