20x20 spins, 1 Temperature, ordered initial state
Monte Carlo cycles     Avg. energy   Heat capacity  Avg. magnetization   Avg. magnetization (abs. value)  Susceptibility            Time    Accepted configs
                  0            -nan            -nan                -nan                              -nan            -nan        5.15e-05               0
                  1            -800               0                 400                               400               0        2.72e-05               0
                  2            -800               0                 400                               400               0         5.3e-05               0
                  3            -800               0                 400                               400               0        6.38e-05               2
                  4            -798              12               399.5                             399.5            0.75        7.97e-05               2
                  5            -800               0                 400                               400               0       0.0001057               0
                  6      -798.66667       8.8888889           399.66667                         399.66667      0.55555556       0.0001176               2
                  7            -800               0                 400                               400               0       0.0001367               0
                  8          -794.5           35.75               398.5                             398.5            2.75        0.000156               6
                  9      -797.33333       14.222222           399.33333                         399.33333      0.88888889       0.0001732               3
                 10          -798.4           10.24               399.6                             399.6            0.64       0.0001908               5
                 11      -797.81818       12.694215           399.45455                         399.45455      0.79338843       0.0002094               2
                 12            -800               0                 400                               400               0       0.0002282               2
                 13            -800               0                 400                               400               0       0.0002489               0
                 14      -798.28571        10.77551           399.57143                         399.57143      0.67346939       0.0002671               4
                 15          -796.8           15.36               399.2                             399.2            0.96       0.0002832               4
                 16          -799.5            3.75             399.875                           399.875        0.234375       0.0003056               2
                 17      -797.64706       13.287197           399.41176                         399.41176      0.83044983       0.0003204               8
                 18      -798.22222        18.17284           399.55556                         399.55556       1.1358025       0.0003389               8
                 19      -799.15789       6.0277008           399.78947                         399.78947       0.3767313       0.0003588               5
                 20          -799.2            5.76               399.8                             399.8            0.36       0.0003776               3
                 21      -798.85714       7.8367347           399.71429                         399.71429      0.48979592       0.0003955               8
                 22      -798.18182       11.239669           399.54545                         399.54545      0.70247934       0.0004164               7
                 23      -799.65217       2.6616257           399.91304                         399.91304      0.16635161       0.0004309               2
                 24      -799.66667       2.5555556           399.91667                         399.91667      0.15972222       0.0004525               8
                 25         -799.04          6.7584              399.76                            399.76          0.4224       0.0004707               6
                 26            -800               0                 400                               400               0       0.0005211               6
                 27      -797.62963       13.344307           399.40741                         399.40741       0.8340192       0.0005097               8
                 28            -800               0                 400                               400               0       0.0005243               0
                 29      -799.72414       2.1307967           399.93103                         399.93103      0.13317479       0.0005477               3
                 30      -799.46667       3.9822222           399.86667                         399.86667      0.24888889       0.0005622               6
                 31      -799.48387       3.8626431           399.87097                         399.87097      0.24141519       0.0005821               4
                 32        -796.875       16.734375            399.1875                          399.1875       1.2148438       0.0005965              18
                 33      -799.27273       5.2892562           399.81818                         399.81818      0.33057851        0.000741               8
                 34      -799.29412       5.1487889           399.82353                         399.82353      0.32179931       0.0006407               2
                 35      -799.31429       5.0155102           399.82857                         399.82857      0.31346939       0.0006539               4
                 36      -798.88889        7.654321           399.72222                         399.72222      0.47839506       0.0006749              12
                 37       -798.7027       8.6953981           399.67568                         399.67568      0.54346238       0.0006911              13
                 38      -799.78947       1.6398892           399.94737                         399.94737      0.10249307       0.0007109              12
                 39      -799.38462       4.5443787           399.84615                         399.84615      0.28402367       0.0007293               3
                 40          -799.2            5.76               399.8                             399.8            0.36       0.0007473              12
                 41      -799.02439       9.9750149            399.7561                          399.7561      0.62343843       0.0007679              14
                 42            -800               0                 400                               400               0       0.0007902               4
                 43      -796.93023       40.809086           399.16279                         399.16279       3.2060573       0.0008074              22
                 44            -798       17.818182               399.5                             399.5       1.1136364       0.0008262              24
                 45      -799.82222       1.3906173           399.95556                         399.95556      0.08691358       0.0008427               4
                 46       -798.6087        9.194707           399.65217                         399.65217      0.57466919       0.0008619               6
                 47      -799.31915       4.9832503           399.82979                         399.82979      0.31145315       0.0008807              10
                 48      -798.16667       13.972222           399.54167                         399.54167      0.87326389       0.0009171              17
                 49      -799.18367       5.8642232           399.79592                         399.79592      0.36651395       0.0009195              18
                 50          -798.4           15.36               399.6                             399.6            0.96       0.0009379              10
                 51      -798.03922       17.174933           399.45098                         399.45098       1.4240677       0.0009559              18
                 52      -798.76923       8.3313609           399.69231                         399.69231      0.52071006       0.0009727              12
                 53      -798.79245       8.2022072           399.69811                         399.69811      0.51263795        0.000993              12
                 54       -797.7037       27.615912           399.37037                         399.37037       2.1961591       0.0010379              22
                 55      -799.41818       4.3160331           399.85455                         399.85455      0.26975207       0.0010286              14
                 56            -799               7              399.75                            399.75          0.4375       0.0010452              12
                 57      -798.59649       11.503847           399.64912                         399.64912      0.71899046       0.0011007              16
                 58      -799.31034       5.0416171           399.82759                         399.82759      0.31510107       0.0011101              14
                 59      -799.18644       5.8465958           399.79661                         399.79661      0.36541224       0.0011054              18
                 60      -798.66667       8.8888889           399.66667                         399.66667      0.55555556       0.0011884              12
                 61      -798.95082       7.2926633            399.7377                          399.7377      0.45579145       0.0013496              11
                 62      -798.83871       7.9417274           399.70968                         399.70968      0.49635796       0.0011584              19
                 63      -798.09524       13.641723           399.52381                         399.52381      0.85260771        0.001189              20
                 64        -797.875       12.484375           399.46875                         399.46875      0.78027344       0.0011953              24
                 65      -797.84615       15.299408           399.44615                         399.44615       1.0471006       0.0012221              28
                 66      -798.90909       7.5371901           399.72727                         399.72727      0.47107438       0.0016527              16
                 67      -799.52239       3.5927824            399.8806                          399.8806       0.2245489       0.0012569              14
                 68      -799.05882       8.5259516           399.76471                         399.76471      0.53287197       0.0012668              24
                 69      -799.53623       3.4950641           399.88406                         399.88406       0.2184415       0.0012922              16
                 70      -798.05714       15.425306           399.51429                         399.51429      0.96408163        0.001509              25
                 71      -798.47887       14.136878           399.57746                         399.57746       1.2299147       0.0013386              18
                 72      -799.55556       3.3580247           399.88889                         399.88889      0.20987654       0.0013456              16
                 73      -799.23288       5.5485082           399.80822                         399.80822      0.34678176       0.0013654               6
                 74      -799.78378       1.6829803           399.94595                         399.94595      0.10518627       0.0013803               8
                 75      -799.25333       5.4158222           399.81333                         399.81333      0.33848889       0.0013988              24
                 76      -798.68421       11.110803           399.65789                         399.65789      0.77770083       0.0014241              24
                 77      -799.16883        5.958509           399.79221                         399.79221      0.37240681       0.0014362              26
                 78       -797.4359       22.143327           399.35897                         399.35897       1.3839579       0.0014522              22
                 79      -798.98734       7.0757891           399.74684                         399.74684      0.44223682       0.0014718              26
                 80          -798.7           10.31             399.675                           399.675        0.644375       0.0014934              33
                 81      -797.92593       21.377229           399.45679                         399.45679       1.4827008       0.0015133              37
                 82      -799.21951       5.6347412           399.80488                         399.80488      0.35217133       0.0015236              18
                 83      -799.13253        6.187255           399.78313                         399.78313      0.38670344       0.0015412              22
                 84      -799.09524       6.9909297            399.7619                          399.7619      0.51473923       0.0015673              26
                 85      -797.31765       19.346159           399.31765                         399.31765       1.2755709       0.0015857              30
                 86      -799.25581       5.3996755           399.81395                         399.81395      0.33747972       0.0016075              16
                 87      -799.17241       5.9357907            399.7931                          399.7931      0.37098692       0.0016761              20
                 88      -798.63636       9.0495868           399.65909                         399.65909      0.56559917       0.0016438              42
                 89      -799.10112       6.3830324           399.77528                         399.77528      0.39893953       0.0016581              30
                 90      -799.37778       4.5906173           399.84444                         399.84444      0.28691358       0.0016782              19
                 91      -798.24176       12.381113           399.56044                         399.56044      0.77381959       0.0016886              44
                 92      -798.73913       10.410208           399.67391                         399.67391      0.71975425       0.0017132              34
                 93       -798.7957       8.1840675           399.69892                         399.69892      0.51150422       0.0017329              30
                 94      -798.25532       12.785876           399.55319                         399.55319      0.86419194       0.0017543              35
                 95      -799.32632       4.9356233           399.83158                         399.83158      0.30847645       0.0017909              12
                 96      -799.66667       2.5555556           399.91667                         399.91667      0.15972222       0.0017954              18
                 97       -798.8866       10.801573           399.71134                         399.71134      0.74141779       0.0018076              40
                 98      -798.85714       7.8367347           399.71429                         399.71429      0.48979592       0.0018241              40
                 99      -798.62626       12.981532           399.65657                         399.65657      0.81134578       0.0018439              34
                100         -798.64          9.0304              399.66                            399.66          0.5644       0.0018593              29
                101      -799.36634       4.6677777           399.84158                         399.84158       0.2917361       0.0018867              19
                102      -798.43137       15.108035           399.60784                         399.60784      0.94425221       0.0019018              22
                103      -799.30097       7.2783486           399.80583                         399.80583      0.58365539       0.0019169              42
                104      -799.23077       5.5621302           399.80769                         399.80769      0.34763314       0.0019382              20
                105      -799.69524       2.3452154           399.92381                         399.92381      0.14657596       0.0019583              28
                106       -798.9434       8.5439658           399.73585                         399.73585      0.53399786       0.0019956              29
                107      -798.28037         17.6784            399.5514                          399.5514       1.2193205       0.0019983              44
                108      -798.18519       12.854595           399.53704                         399.53704      0.85973937       0.0020156              38
                109      -798.42202       14.390708           399.57798                         399.57798       1.1063042       0.0020213              48
                110      -799.12727       6.2201653           399.78182                         399.78182      0.38876033       0.0020487              23
                111      -799.38739       4.9580391           399.83784                         399.83784      0.37009983       0.0020726              13
                112      -798.92857       8.5663265           399.73214                         399.73214      0.53539541       0.0020769              36
                113      -798.58407       10.455321           399.64602                         399.64602      0.65345759       0.0021038              26
                114      -798.63158       14.548476           399.64912                         399.64912      0.99969221       0.0021258              32
