20x20 spins, 1 Temperature, ordered initial state
Monte Carlo cycles     Avg. energy   Heat capacity  Avg. magnetization   Avg. magnetization (abs. value)  Susceptibility            Time    Accepted configs
                  0            -nan            -nan                -nan                              -nan            -nan        7.41e-05               0
                  1            -800               0                 400                               400               0         2.6e-05               0
                  2            -796              16                 399                               399               1        4.95e-05               3
                  3            -800               0                 400                               400               0        6.47e-05               0
                  4            -800               0                 400                               400               0        8.02e-05               0
                  5            -800               0                 400                               400               0       0.0001076               2
                  6      -797.33333       14.222222           399.33333                         399.33333      0.88888889       0.0001173               3
                  7      -798.85714       7.8367347           399.71429                         399.71429      0.48979592        0.000137               3
                  8            -800               0                 400                               400               0       0.0001539               2
                  9      -793.77778       11.061728           398.44444                         398.44444      0.69135802       0.0001801               6
                 10          -797.2           19.36               399.2                             399.2            1.76       0.0001922               5
                 11      -796.36364       39.140496           399.09091                         399.09091        2.446281       0.0002102              10
                 12            -800               0                 400                               400               0       0.0002278               2
                 13            -800               0                 400                               400               0       0.0002485               0
                 14      -797.71429       13.061224           399.42857                         399.42857      0.81632653       0.0002657               6
                 15      -798.93333       7.3955556           399.73333                         399.73333      0.46222222       0.0002848               8
                 16          -798.5            9.75             399.625                           399.625        0.609375       0.0003033               5
                 17      -798.58824       9.3010381           399.64706                         399.64706      0.58131488        0.000322               8
                 18      -799.55556       3.3580247           399.88889                         399.88889      0.20987654       0.0003383               4
                 19      -799.57895       3.1911357           399.89474                         399.89474      0.19944598       0.0003578               2
                 20          -799.6            3.04               399.9                             399.9            0.19       0.0003892               1
                 21       -799.2381       5.5147392           399.80952                         399.80952       0.3446712       0.0003973              10
                 22      -799.63636       2.7768595           399.90909                         399.90909      0.17355372       0.0004181               1
                 23      -799.65217       2.6616257           399.91304                         399.91304      0.16635161       0.0004337               4
                 24      -799.33333       4.8888889           399.83333                         399.83333      0.30555556       0.0004526               4
                 25         -798.24         12.9024              399.52                            399.52          1.0496       0.0004678               8
                 26            -800               0                 400                               400               0       0.0004914               4
                 27      -798.81481       8.0768176            399.7037                          399.7037       0.5048011       0.0005072              11
                 28            -800               0                 400                               400               0       0.0005276               2
                 29      -798.89655       7.6099881           399.72414                         399.72414      0.47562426       0.0005496               6
                 30          -799.2            5.76               399.8                             399.8            0.36       0.0005731               6
                 31      -797.67742       17.315297           399.41935                         399.41935        1.082206       0.0005842              12
                 32         -798.75          8.4375            399.6875                          399.6875      0.52734375       0.0006004               6
                 33      -799.51515       3.6437098           399.87879                         399.87879      0.22773186       0.0006188               6
                 34      -799.52941       7.3079585           399.88235                         399.88235       0.4567474       0.0006399               6
                 35      -798.85714       7.8367347           399.71429                         399.71429      0.48979592       0.0006578               5
                 36            -798       22.666667               399.5                             399.5       1.4166667       0.0006748              20
                 37      -799.56757       6.7319211           399.89189                         399.89189      0.42074507       0.0006947               6
                 38      -798.10526       14.094183           399.47368                         399.47368       1.1966759         0.00071              10
                 39      -799.07692       7.7633136           399.74359                         399.74359       0.6522025       0.0007312              16
                 40          -797.4           20.44              399.35                            399.35          1.2775       0.0009896              18
                 41      -799.41463       4.3402736           399.85366                         399.85366       0.2712671       0.0007762              12
                 42      -799.04762       6.7120181            399.7619                          399.7619      0.41950113       0.0007904              12
                 43      -797.95349       15.160627           399.48837                         399.48837      0.94753921       0.0008089              16
                 44      -799.45455       4.0661157           399.86364                         399.86364      0.25413223       0.0008311               8
                 45      -796.88889       19.120988               399.2                             399.2       1.3155556       0.0008466              23
                 46      -798.08696       14.427221           399.52174                         399.52174      0.90170132       0.0008903              22
                 47       -798.6383       9.0393843           399.65957                         399.65957      0.56496152       0.0009502              11
                 48      -797.41667       20.326389           399.33333                         399.33333       1.3888889       0.0009173              20
                 49      -798.93878       8.3431903           399.71429                         399.71429      0.65306122       0.0009198              12
                 50         -798.72         11.1616              399.68                            399.68          0.6976       0.0009437              12
                 51      -799.52941       3.5432526           399.88235                         399.88235      0.22145329       0.0009504               4
                 52      -798.76923       8.3313609           399.69231                         399.69231      0.52071006       0.0009777              18
                 53      -799.54717       3.4175863           399.88679                         399.88679      0.21359915       0.0009958               8
                 54      -798.37037       12.751715           399.59259                         399.59259      0.79698217       0.0010275              20
                 55      -799.27273       5.2892562           399.81818                         399.81818      0.33057851        0.001046              14
                 56      -798.57143       9.3877551           399.64286                         399.64286      0.58673469       0.0011422              14
                 57      -798.59649       9.2582333           399.64912                         399.64912      0.57863958       0.0013458              14
                 58       -798.2069        12.78478           399.51724                         399.51724       1.0083234        0.001088              22
                 59      -798.84746       8.7055444           399.69492                         399.69492      0.65268601       0.0015108              17
                 60      -799.06667       6.5955556           399.76667                         399.76667      0.41222222       0.0011864              12
                 61       -799.7377       2.0295619           399.93443                         399.93443      0.12684762       0.0012129              10
                 62      -798.90323       8.3454735           399.70968                         399.70968      0.62539022       0.0011844              20
                 63      -798.53968       18.438901           399.61905                         399.61905       1.3786848       0.0011787              25
                 64        -799.625        2.859375           399.90625                         399.90625      0.17871094        0.001197              12
                 65      -799.01538       8.8766864           399.75385                         399.75385       0.5547929       0.0012134              19
                 66      -799.75758       1.8806244           399.93939                         399.93939      0.11753903       0.0013098              14
                 67      -797.25373       14.428158           399.31343                         399.31343      0.90175986       0.0013131              21
                 68      -799.05882       6.6435986           399.76471                         399.76471      0.41522491       0.0012738              12
                 69       -798.6087       12.904852           399.65217                         399.65217      0.80655325       0.0012882              18
                 70      -799.42857        4.244898           399.85714                         399.85714      0.26530612       0.0013196              16
                 71      -796.39437       18.999405           399.07042                         399.07042       1.3330688       0.0013353              42
                 72      -799.22222       9.1728395           399.80556                         399.80556      0.57330247       0.0013418              14
                 73      -798.46575       11.673485           399.61644                         399.61644      0.72959279       0.0013636              23
                 74      -799.35135       4.7684441           399.83784                         399.83784      0.29802776       0.0013832              18
                 75      -797.97333       13.385956           399.46667                         399.46667      0.99555556       0.0014013              28
