20x20 spins, 2.4 Temperature, ordered initial state
Monte Carlo cycles     Avg. energy   Heat capacity  Avg. magnetization   Avg. magnetization (abs. value)  Susceptibility            Time    Accepted configs
                  0            -nan            -nan                -nan                              -nan            -nan        6.26e-05               0
                  1            -736               0                 382                               382               0        3.15e-05              21
                  2            -704       277.77778                 372                               372              60        6.01e-05              46
                  3      -669.33333       433.95062           358.66667                         358.66667        113.7037        7.87e-05             106
                  4            -654       240.97222                 346                               346       195.83333       0.0001014             183
                  5          -709.6       47.333333               369.2                             369.2       23.066667       0.0001299             161
                  6      -672.66667       630.01543           358.66667                         358.66667       255.92593        0.000152             233
                  7      -697.14286       565.64626           363.14286                         363.14286       291.36054       0.0001719             270
                  8          -634.5       125.65104              347.25                            347.25       41.640625       0.0001973             409
                  9      -666.22222       169.20439           357.11111                         357.11111       40.041152       0.0002216             444
                 10          -589.2       721.13889               321.6                             321.6       430.93333       0.0002482             723
                 11      -618.18182       1017.8604           329.81818                         329.81818       683.47107       0.0002699             638
                 12      -586.33333       575.21219           320.16667                         320.16667       279.57176       0.0002942             876
                 13      -624.30769       497.63314           330.15385                         330.15385       242.42604       0.0003142             754
                 14      -653.42857       341.11395                 344                               344        210.2381       0.0003451             753
                 15      -612.53333       255.50617           331.46667                         331.46667       142.32593       0.0003671             960
                 16         -625.25       255.11068                 337                               337             150       0.0003889             945
                 17      -521.88235       1120.6267           263.17647                         263.17647       1977.0704       0.0004233            1610
                 18      -634.44444       375.66015           339.55556                         339.55556       245.65844       0.0004328            1006
                 19            -552       1373.0994           285.05263                         285.05263       1674.9769       0.0004664            1543
                 20          -561.8       319.29861               300.6                             300.6       208.18333       0.0004853            1501
                 21      -572.19048       1196.1577           293.42857                         293.42857        1095.737       0.0005138            1636
                 22      -621.09091       296.25803           335.90909                         335.90909       157.64807       0.0005292            1279
                 23      -604.34783       235.72779           324.86957                         324.86957       158.38059       0.0005575            1528
                 24      -557.16667       589.46277           285.33333                         285.33333       532.73148       0.0005883            2026
                 25         -607.68       457.31556              328.32                            328.32       225.95733       0.0006028            1693
                 26      -547.23077       771.58531           259.30769                         259.30769       1508.0695       0.0006356            2210
                 27      -581.03704       853.41411           301.62963                         301.62963       765.18976       0.0006569            2053
                 28            -496       1342.2619           221.28571                         221.28571        1996.335       0.0007146            3042
                 29      -586.34483       458.71978           308.96552                         308.96552       422.71502        0.000707            2135
                 30      -593.33333       507.09877           306.26667                         306.26667       558.85926       0.0007295            2196
                 31      -565.67742       540.46133           293.74194                         293.74194       481.04752       0.0007559            2537
                 32        -585.375       416.25163             314.375                           314.375       259.42057       0.0008039            2433
                 33      -562.18182       825.60453           284.36364                         284.36364       1224.4904       0.0008464            2698
                 34      -591.05882       342.98347           316.58824                         316.58824       333.38524       0.0008405            2438
                 35      -585.94286       829.58277           304.74286                         304.74286       1143.9129       0.0008495            2618
                 36      -586.88889       810.58813           309.44444                         309.44444       636.90844       0.0008722            2603
                 37      -526.59459       911.59403           258.64865                         258.64865       1785.4103       0.0009109            3552
                 38      -576.94737       356.78863           316.57895                         316.57895       173.67613       0.0009186            2795
                 39      -580.82051       649.02842            307.4359                          307.4359       481.44861       0.0009502            3015
                 40          -598.9        328.3316              322.95                            322.95       256.41562       0.0009674            2804
                 41      -556.19512       636.98526           273.85366                         273.85366       991.90165       0.0010903            3591
                 42      -596.19048       451.71328           318.52381                         318.52381       369.68726       0.0010163            3007
                 43      -577.30233       353.19392           299.67442                         299.67442        416.4287       0.0010423            3293
                 44      -521.81818       1291.3453           250.22727                         250.22727       1860.5467       0.0010806            4176
                 45      -513.06667       1139.1852           227.64444                         227.64444       3093.7992       0.0011055            4367
                 46      -551.91304       617.45038           287.69565                         287.69565       559.92517       0.0011221            4004
                 47       -570.6383       477.10125           304.85106                         304.85106       424.73367       0.0011416            3701
                 48      -565.91667       398.49416               298.5                             298.5       307.74306        0.001217            3996
                 49      -552.40816       466.92119           277.91837                         277.91837       394.35096       0.0011687            4257
                 50          -509.6       478.33333               223.8                             223.8       1401.8167       0.0009985            5122
                 51      -558.90196       693.79939           281.60784                         281.60784        1499.217       0.0010049            4234
                 52      -516.76923       766.35026           249.46154                         249.46154       1518.0843       0.0010742            5151
                 53      -571.62264       448.45536           298.11321                         298.11321       372.35315       0.0010403            4265
                 54      -522.88889       650.55727           212.92593                         212.92593       2880.5996       0.0012387            5363
                 55      -535.34545       411.28926           244.50909                         244.50909       1465.4072       0.0014229            5157
                 56      -572.28571       295.62075                 307                               307       237.08333       0.0011102            4386
                 57      -568.14035        572.5112            276.5614                          276.5614       1964.8394       0.0011235            4718
                 58            -546       604.04693            283.7931                          283.7931       841.41895       0.0011419            4990
                 59      -541.35593       599.11584           274.67797                         274.67797       621.84238        0.001267            5314
                 60          -552.6       712.66898           227.73333                         227.73333       3241.7481       0.0012907            5276
                 61       -493.5082        821.6907           212.45902                         212.45902       1931.9341       0.0012229            6577
                 62      -564.90323       682.92288           288.80645                         288.80645        979.7559       0.0012236            5015
                 63      -496.63492       857.86652           151.87302                         157.71429       4971.1044       0.0012609            6735
                 64       -550.3125       359.44485             285.375                           285.375       333.27474       0.0013735            5379
                 65      -566.09231       514.11177           287.53846                         287.53846       732.14201       0.0012827            5336
                 66      -537.93939          545.98            272.9697                          272.9697       486.17386       0.0013597            6018
                 67      -525.61194       533.58704           263.55224                         263.55224       882.27965       0.0013452            6321
                 68      -539.35294       810.42568           271.79412                         271.79412       845.84018        0.001348            6136
                 69      -537.56522       648.24617            259.5942                          259.5942       1017.7575        0.001364            6309
                 70      -535.37143       736.24093               240.8                             240.8       1982.4476        0.001463            6572
                 71            -584       520.26604            315.1831                          315.1831       437.30411       0.0013897            5236
                 72      -507.72222       963.29679           193.19444                         198.58333       7111.7898       0.0014298            7305
                 73      -566.41096       483.92235           300.05479                         300.05479       438.76587       0.0014347            5821
                 74      -527.08108        836.7528           244.91892                         244.91892       1290.6392       0.0014686            7176
                 75      -588.26667       327.58025           316.34667                         316.34667        182.7277        0.001464            5559
                 76      -555.26316       789.67182           285.68421                         285.68421       893.86196       0.0015007            6525
                 77      -557.71429       529.61245           295.97403                         295.97403       652.27245       0.0015143            6562
                 78      -516.25641       532.36038           245.84615                         245.84615       1049.7765       0.0015465            7752
                 79      -537.01266        529.8501           279.01266                         279.01266       598.09592       0.0015691            7146
                 80         -546.95       546.02387              274.45                            274.45       718.08229        0.001578            7109
                 81      -559.35802       271.15616           278.34568                         278.34568       730.93787       0.0015965            6877
                 82       -558.2439       564.64076           291.31707                         291.31707       896.10648       0.0016086            6782
                 83       -571.3253       269.46582           299.15663                         299.15663       227.11327        0.001628            6613
                 84      -546.85714       423.91345            281.7381                          281.7381       530.90396       0.0016552            7267
                 85      -584.23529       546.95117           297.12941                         297.12941       974.33126       0.0016625            6419
                 86      -513.02326       509.44354           232.30233                         232.30233       1339.5937       0.0017078            8511
                 87       -542.8046       716.29086           283.93103                         283.93103       839.09764       0.0017164            7783
                 88      -523.77273       538.72209           263.95455                         263.95455         1116.59       0.0017411            8299
                 89      -553.30337       949.92355           260.24719                         260.24719       3070.0682       0.0017389            7563
                 90      -558.84444       609.21262           295.86667                         295.86667        645.1037       0.0017637            7340
                 91      -523.86813       707.35351           249.97802                         249.97802       1117.7837       0.0018048            8691
                 92      -506.95652          568.41           239.71739                         239.71739       1130.1298       0.0018292            9585
                 93      -525.76344       857.31555           233.11828                         233.11828       1608.7262       0.0018375            8930
                 94      -535.70213       490.91249           260.29787                         260.29787        1135.034       0.0018504            8599
                 95      -553.30526       492.65743           254.61053                         254.61053       2263.5114       0.0018698            8152
                 96      -532.04167       506.51012           261.27083                         261.27083       819.51805       0.0019013            9025
                 97      -523.75258       632.34905           247.54639                         247.54639       1254.7253        0.001923            9328
                 98      -534.12245       481.47415           269.93878                         269.93878       741.75014       0.0019448            9346
                 99      -525.93939       712.30997                 268                               268       692.18855       0.0019786            9401
                100         -514.16       558.63444              242.82                            242.82       1208.0032       0.0020054            9901
                101      -524.71287       366.96348           235.80198                         235.80198       980.94076       0.0020072            9515
                102      -507.52941       1236.0727           172.68627                         172.68627       5481.8789       0.0020506           10571
                103      -497.51456       724.70963            213.6699                          213.6699       1432.9158       0.0020735           10916
                104            -510       586.48504               233.5                             233.5       1219.7997        0.002079           10481
                105      -503.04762       1033.3081            205.2381                          205.2381       3520.6788        0.002094           11024
                106      -496.18868       698.50011           183.56604                         183.56604       3231.9498       0.0021192           11212
                107       -549.1215        504.6103           285.14019                         285.14019        485.3306       0.0021095            9229
                108      -514.96296       794.82358           209.59259                         214.77778       4769.5913       0.0021422           10840
                109      -514.97248       758.32842           226.23853                         226.23853       2167.4534       0.0021644           11007
                110      -506.90909       876.61157           191.25455                         191.25455       3900.9957       0.0022372           11446
                111      -459.92793       538.13724           126.37838                          138.7027       4269.6551       0.0022266           13355
                112         -529.25       606.49957           264.80357                         264.80357       853.40654       0.0022121           10653
                113      -487.89381       790.97641           172.99115                         173.23894       3699.8562       0.0022551           12383
                114      -482.49123       418.78121           182.82456                         182.82456       2482.7138        0.002276           12718
                115      -507.06087       512.09326           228.90435                         228.90435       1097.9201        0.002287           12012
                116      -486.93103        1225.975           142.31034                         160.62069       8489.2127       0.0023166           12861
                117      -556.88889       501.04991           280.08547                         280.08547       961.03684       0.0023007            9856
                118      -541.55932       588.13719           268.33898                         268.33898       789.81088       0.0023279           10676
                119       -572.5042        644.2836           291.63025                         291.63025       1168.4865       0.0023319            9595
                120      -533.43333       848.32388           224.63333                         224.63333       4872.8884       0.0023779           11091
                121       -485.2562         487.513           101.43802                         121.70248       5353.6976       0.0024075           13658
                122      -484.09836       844.60215           119.68852                         121.78689       4543.2792       0.0024381           13628
                123      -537.26829       553.44702           259.60976                         259.60976       1165.2211       0.0024575           11082
                124      -542.22581       488.58882           265.25806                         265.25806       852.94268       0.0024693           11100
                125        -528.288       726.89671             257.312                           257.312       1309.3628       0.0024992           11800
                126      -507.46032       1062.5376            203.7619                          203.7619       4273.7198       0.0025073           12970
                127      -502.86614       637.65956           229.84252                         229.84252       1175.7902       0.0025111           13187
                128       -518.6875       825.22176           239.98438                         239.98438       1593.6067        0.002525           12683
                129      -551.78295       413.66538           285.89147                         285.89147       467.11396       0.0025406           11264
                130      -532.15385       733.00871           232.75385                         241.36923       4569.3401         0.00257           12169
                131      -481.00763       894.07733           170.32061                         170.32061       3731.6238       0.0026166           14880
                132      -476.12121       663.12876           191.39394                         191.39394       2681.8419       0.0026423           14856
                133      -492.09023       535.73376           150.31579                         151.09774       2606.2366       0.0026546           14445
                134      -536.47761       356.01347           262.26866                         262.26866        695.0943       0.0026564           12200
                135          -541.6       992.88889           265.24444                         265.24444       2147.8979       0.0027105           12314
                136      -536.17647       584.83936           237.26471                         237.26471       2465.7796       0.0026858           12560
                137      -516.52555       536.57005           228.54015                         228.54015       1512.3967       0.0027183           13819
                138      -505.88406       661.48116           193.91304                          196.6087       4785.8181       0.0027399           14169
                139      -532.80576       626.30615           261.72662                         261.72662       1590.0048       0.0027412           12867
                140      -552.68571       404.68027           283.77143                         283.77143       565.02585       0.0027531           12122
                141      -554.24113       508.68277           283.95745                         283.95745       802.20965       0.0027751           12074
                142            -486       747.99491           169.02817                         182.04225       5991.3553       0.0028507           15588
                143      -524.44755       682.01651           240.61538                         240.61538       1558.5835       0.0028375           13968
                144      -519.08333       560.32866           218.48611                         218.48611       2257.9918       0.0028565           14108
                145      -490.06897       528.27983           111.57241                         118.44138       5393.9123       0.0029138           15895
                146      -512.32877       571.25216           180.19178                         180.19178       2992.8842       0.0028981           14761
                147      -531.94558        511.6019           251.61905                         251.61905       940.30234       0.0028989           13710
                148      -502.59459       668.95138           228.82432                         228.82432       1638.1741       0.0029414           15641
                149      -483.08725       483.93441           166.26846                         167.12752       2891.2228       0.0029753           16838
                150          -519.6       540.02778           241.93333                         241.93333        1165.787       0.0029704           14770
                151      -530.91391        928.4008           264.35762                         264.35762       1701.8562       0.0029797           14030
                152      -537.13158       588.83106           254.85526                         254.85526       1545.0132       0.0029928           13914
                153      -520.57516       467.40807            255.5817                          255.5817        861.6918       0.0030171           14708
                154       -524.5974       463.05132           262.67532                         262.67532        707.0827       0.0030437           14736
                155       -514.7871       798.25714           206.76129                         206.76129       3168.4359       0.0030727           15479
                156      -555.48718       566.65662           277.74359                         277.74359        900.7632        0.003061           13229
                157      -531.13376       531.50455           236.53503                         236.53503       1952.6196        0.003137           15116
                158      -495.89873       507.41735           93.227848                          187.3038       14404.403       0.0031461           16787
                159      -489.40881       657.13272           140.07547                         159.22013       7287.5658       0.0031708           17222
                160          -491.1       682.94965            198.2625                          198.2625       1554.7942       0.0031937           17498
                161      -496.74534       647.93668           175.76398                         176.65839       3964.5627       0.0031966           17193
                162      -497.90123       565.37039           215.40741                         215.40741       1487.6932       0.0032237           17074
                163      -508.63804        504.0193           220.69939                         220.69939       1778.1295       0.0032351           16755
                164      -522.60976       456.45645           253.82927                         253.82927       1051.0854       0.0032414           15869
                165      -539.44242        456.3265           276.50909                         276.50909         579.791       0.0032548           15048
                166      -524.57831        602.1173           251.25301                         251.25301       1717.7193       0.0032859           15844
                167      -505.29341       431.44609           206.68263                         206.68263       1515.8637        0.003317           17229
                168      -513.59524       800.89748           244.66667                         244.66667       1590.0529       0.0033195           17140
                169      -551.28994       435.48117           288.17751                         288.17751         460.549       0.0033155           14482
                170      -539.01176       513.42522           268.91765                         268.91765       863.88443       0.0033532           15480
                171      -513.05263       628.41387           207.52047                         208.61988       4147.7502       0.0033977           17080
                172      -500.02326       829.73182           147.59302                         160.15116        6011.898       0.0034262           18296
                173      -533.84971       457.33792           243.51445                         243.51445       1222.5607       0.0034966           16205
                174      -531.31034        463.2316           246.44828                         246.44828       1195.4814       0.0034282           16604
                175      -550.83429       653.33551           280.85714                         280.85714       1047.4748       0.0034482           14954
                176      -498.81818       611.34211             212.375                           212.375         1255.86       0.0035012           18775
                177      -518.44068       579.34874           248.13559                         248.13559       1186.2447       0.0035063           17465
                178      -474.44944       629.37348           92.235955                         112.66292        5940.679       0.0035433           20649
                179      -536.53631       843.33926           257.68715                         257.68715       1926.1603        0.003544           16769
                180      -490.51111       873.76638           79.944444                         167.54444       13139.064       0.0035925           19298
                181      -519.44751       431.36199           240.68508                         240.68508       1332.8247       0.0035871           17921
                182      -549.93407       566.84143           283.72527                         283.72527       601.73595       0.0035853           15888
                183      -543.56284       532.93586           257.48634                         257.48634       1414.7808          0.0036           16488
                184      -525.80435       611.19505           236.18478                         236.18478       2088.5274       0.0036505           17648
                185      -485.85946       707.71804           143.32973                         165.88108       6925.3624       0.0036886           20471
                186      -504.62366       521.57226           211.89247                         211.89247       1698.2748       0.0036863           19086
                187      -497.66845       589.92076           57.807487                          175.5615       15488.345       0.0037246           19950
                188      -529.68085       739.12239           244.40426                         244.40426       1432.2901       0.0037131           17778
                189      -502.79365        505.8761           220.05291                         220.05291       1434.8048       0.0037523           19532
                190      -548.21053       453.50108                 273                               273       1118.8377       0.0037336           16467
                191      -526.17801       691.41029           235.72775                         235.72775       1925.9028       0.0037794           18406
                192       -521.3125       541.58461           228.36458                         228.36458         2589.12       0.0038031           18892
                193       -554.4456       540.21092           288.49741                         288.49741       762.78119       0.0038029           16411
                194      -513.13402       536.81855           209.53608                         209.53608       1962.0151       0.0038502           19605
                195      -536.14359       739.38388           233.41538                         245.18974       6178.2593       0.0038392           17868
                196      -512.36735        586.5412           242.61224                         242.61224       1069.5377       0.0039302           19492
                197      -542.53807       562.91152           274.74112                         274.74112       816.86928       0.0038831           17590
                198      -509.75758       641.06022           228.44444                         228.44444       1769.6483       0.0039311           20214
                199      -524.58291       788.78802           220.44221                         220.44221       2544.8766       0.0040297           19405
                200         -503.64       695.67194               48.27                            200.69       19050.295       0.0039924           21054
                201      -507.50249       744.05598          -99.293532                         195.29353       14568.872       0.0039997           20978
                202      -514.17822       823.84625           209.39604                         209.51485       4173.6186       0.0040289           20243
                203      -526.32512       765.07128           213.07389                         216.89655       5395.8167       0.0040807           19319
                204      -545.78431       485.46306           273.78431                         273.78431       859.62114       0.0041191           18229
                205      -510.28293       648.32282           227.10244                         227.10244       2366.4448       0.0040877           21084
                206      -535.57282        348.8626           251.66019                         251.66019       606.15739       0.0041729           19288
                207       -509.1401       666.32023           210.77295                          211.3913       2962.5047       0.0041069           21289
                208      -542.21154       881.66958           266.35577                         266.35577       2008.4008        0.004109           19002
                209      -466.83254       703.09936           115.66507                         136.10526       7164.0442       0.0041919           24586
                210       -511.9619       547.32779               221.8                             221.8       2211.0865       0.0041698           21419
                211      -514.90047       877.59422           -124.5782                         226.81517       18036.093       0.0041931           21265
                212      -529.90566       772.60066           241.63208                         241.63208       2063.3477       0.0042773           20275
